Individual	Protein
Library001_barcode01	SRK_protein_175
Library001_barcode01	SRK_protein_002
Library001_barcode01	SRK_protein_176
Library001_barcode01	SRK_protein_175
Library001_barcode01	SRK_protein_002
Library001_barcode01	SRK_protein_176
Library001_barcode01	SRK_protein_175
Library001_barcode01	SRK_protein_002
Library001_barcode01	SRK_protein_176
Library001_barcode01	SRK_protein_175
Library001_barcode01	SRK_protein_002
Library001_barcode01	SRK_protein_176
Library001_barcode01	SRK_protein_001
Library001_barcode02	SRK_protein_177
Library001_barcode02	SRK_protein_178
Library001_barcode02	SRK_protein_167
Library001_barcode02	SRK_protein_179
Library001_barcode02	SRK_protein_177
Library001_barcode02	SRK_protein_178
Library001_barcode02	SRK_protein_167
Library001_barcode02	SRK_protein_179
Library001_barcode02	SRK_protein_178
Library001_barcode02	SRK_protein_179
Library001_barcode02	SRK_protein_178
Library001_barcode02	SRK_protein_179
Library001_barcode02	SRK_protein_177
Library001_barcode02	SRK_protein_177
Library001_barcode02	SRK_protein_177
Library001_barcode02	SRK_protein_177
Library001_barcode03	SRK_protein_180
Library001_barcode03	SRK_protein_180
Library001_barcode03	SRK_protein_180
Library001_barcode03	SRK_protein_180
Library001_barcode04	SRK_protein_022
Library001_barcode04	SRK_protein_022
Library001_barcode04	SRK_protein_022
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_036
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_036
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_036
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_181
Library001_barcode05	SRK_protein_181
Library001_barcode06	SRK_protein_182
Library001_barcode06	SRK_protein_183
Library001_barcode06	SRK_protein_183
Library001_barcode06	SRK_protein_182
Library001_barcode06	SRK_protein_183
Library001_barcode06	SRK_protein_183
Library001_barcode06	SRK_protein_182
Library001_barcode06	SRK_protein_183
Library001_barcode06	SRK_protein_183
Library001_barcode06	SRK_protein_182
Library001_barcode06	SRK_protein_183
Library001_barcode06	SRK_protein_183
Library001_barcode07	SRK_protein_054
Library001_barcode07	SRK_protein_184
Library001_barcode07	SRK_protein_054
Library001_barcode07	SRK_protein_184
Library001_barcode07	SRK_protein_054
Library001_barcode07	SRK_protein_184
Library001_barcode07	SRK_protein_054
Library001_barcode07	SRK_protein_184
Library001_barcode08	SRK_protein_185
Library001_barcode08	SRK_protein_185
Library001_barcode08	SRK_protein_185
Library001_barcode08	SRK_protein_185
Library001_barcode08	SRK_protein_046
Library001_barcode08	SRK_protein_046
Library001_barcode08	SRK_protein_046
Library001_barcode08	SRK_protein_046
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_089
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_135
Library001_barcode09	SRK_protein_135
Library001_barcode10	SRK_protein_119
Library001_barcode10	SRK_protein_119
Library001_barcode10	SRK_protein_119
Library001_barcode10	SRK_protein_119
Library001_barcode10	SRK_protein_161
Library001_barcode10	SRK_protein_186
Library001_barcode10	SRK_protein_186
Library001_barcode10	SRK_protein_186
Library001_barcode10	SRK_protein_186
Library001_barcode11	SRK_protein_187
Library001_barcode11	SRK_protein_187
Library001_barcode11	SRK_protein_021
Library001_barcode11	SRK_protein_187
Library001_barcode11	SRK_protein_187
Library001_barcode11	SRK_protein_021
Library001_barcode11	SRK_protein_187
Library001_barcode11	SRK_protein_187
Library001_barcode11	SRK_protein_187
Library001_barcode11	SRK_protein_187
Library001_barcode12	SRK_protein_188
Library001_barcode12	SRK_protein_189
Library001_barcode12	SRK_protein_188
Library001_barcode12	SRK_protein_189
Library001_barcode12	SRK_protein_188
Library001_barcode12	SRK_protein_189
Library001_barcode12	SRK_protein_188
Library001_barcode12	SRK_protein_189
Library001_barcode14	SRK_protein_190
Library001_barcode14	SRK_protein_004
Library001_barcode14	SRK_protein_190
Library001_barcode14	SRK_protein_004
Library001_barcode14	SRK_protein_190
Library001_barcode14	SRK_protein_004
Library001_barcode14	SRK_protein_190
Library001_barcode14	SRK_protein_004
Library001_barcode14	SRK_protein_191
Library001_barcode14	SRK_protein_191
Library001_barcode14	SRK_protein_191
Library001_barcode14	SRK_protein_191
Library001_barcode15	SRK_protein_192
Library001_barcode15	SRK_protein_192
Library001_barcode15	SRK_protein_192
Library001_barcode15	SRK_protein_192
Library001_barcode16	SRK_protein_193
Library001_barcode16	SRK_protein_193
Library001_barcode16	SRK_protein_193
Library001_barcode16	SRK_protein_193
Library001_barcode17	SRK_protein_194
Library001_barcode17	SRK_protein_194
Library001_barcode17	SRK_protein_194
Library001_barcode17	SRK_protein_194
Library001_barcode17	SRK_protein_194
Library001_barcode17	SRK_protein_195
Library001_barcode17	SRK_protein_194
Library001_barcode17	SRK_protein_195
Library001_barcode17	SRK_protein_194
Library001_barcode17	SRK_protein_195
Library001_barcode17	SRK_protein_194
Library001_barcode17	SRK_protein_195
Library001_barcode18	SRK_protein_196
