Individual	Total_sequences	Functional_proteins	Functional_rate	Proteins_in_final_data	In_final_genotype_data	Classification	Top_failure_reasons
SRK_BEA	24	24	1.000	4	Yes	normal	
Library004_barcode79	12	11	0.917	10	Yes	normal	premature_stop(1)
Library004_barcode80	24	11	0.458	7	Yes	low_functional_rate	ambiguous_aa(12);premature_stop(5)
Library004_barcode81	20	13	0.650	11	Yes	normal	premature_stop(7)
Library004_barcode82	28	20	0.714	0	No	dropped_abundance_filter	ambiguous_aa(4);premature_stop(4)
Library004_barcode83	16	11	0.688	6	Yes	normal	ambiguous_aa(4);premature_stop(1)
Library004_barcode84	28	8	0.286	4	Yes	low_functional_rate	premature_stop(20);ambiguous_aa(8)
Library004_barcode85	28	16	0.571	16	Yes	normal	premature_stop(12)
Library004_barcode86	20	4	0.200	0	No	dropped_abundance_filter	premature_stop(13);ambiguous_aa(4)
Library004_barcode87	20	12	0.600	8	Yes	normal	premature_stop(4);ambiguous_aa(4)
Library004_barcode88	16	4	0.250	4	Yes	low_functional_rate	premature_stop(8);ambiguous_aa(4)
Library004_barcode89	24	16	0.667	12	Yes	normal	premature_stop(8);ambiguous_aa(4)
Library002_barcode23	32	22	0.688	17	Yes	normal	premature_stop(10)
Library002_barcode24	24	14	0.583	8	Yes	normal	premature_stop(6);ambiguous_aa(4)
Library002_barcode25	4	0	0.000	0	No	no_functional_proteins	ambiguous_aa(4);premature_stop(1)
Library002_barcode26	16	9	0.562	0	No	dropped_abundance_filter	premature_stop(7)
Library002_barcode27	24	11	0.458	0	No	dropped_abundance_filter	premature_stop(13);ambiguous_aa(8)
Library002_barcode28	24	8	0.333	0	No	dropped_abundance_filter	ambiguous_aa(12);premature_stop(12)
Library002_barcode29	24	11	0.458	6	Yes	low_functional_rate	premature_stop(9);ambiguous_aa(8)
Library002_barcode31	28	15	0.536	15	Yes	normal	premature_stop(13);ambiguous_aa(4)
Library002_barcode32	24	15	0.625	2	Yes	normal	premature_stop(6);ambiguous_aa(4)
Library002_barcode33	4	0	0.000	0	No	no_functional_proteins	premature_stop(4)
Library002_barcode34	28	11	0.393	0	No	dropped_abundance_filter	premature_stop(13);ambiguous_aa(8)
Library002_barcode35	36	15	0.417	9	Yes	low_functional_rate	premature_stop(21);ambiguous_aa(12)
Library002_barcode36	16	7	0.438	0	No	dropped_abundance_filter	premature_stop(9)
Library002_barcode37	20	12	0.600	8	Yes	normal	premature_stop(8);ambiguous_aa(4)
Library002_barcode38	24	13	0.542	0	No	dropped_abundance_filter	premature_stop(7);ambiguous_aa(4)
Library002_barcode39	28	27	0.964	19	Yes	normal	premature_stop(1)
Library002_barcode40	36	26	0.722	13	Yes	normal	premature_stop(10)
Library002_barcode41	32	22	0.688	10	Yes	normal	premature_stop(10)
Library002_barcode42	20	12	0.600	12	Yes	normal	premature_stop(4);ambiguous_aa(4)
Library002_barcode43	32	25	0.781	14	Yes	normal	premature_stop(7);ambiguous_aa(4)
Library002_barcode44	16	4	0.250	4	Yes	low_functional_rate	premature_stop(12);ambiguous_aa(4)
Library002_barcode45	28	8	0.286	0	No	dropped_abundance_filter	premature_stop(20)
Library002_barcode46	20	11	0.550	8	Yes	normal	premature_stop(9);ambiguous_aa(4)
Library002_barcode47	28	12	0.429	8	Yes	low_functional_rate	ambiguous_aa(12);premature_stop(9)
