BL,Group,EO,Population_IDs,N_locations,Area_ha,Drift_index
BL1,7,EO29,8,1,0.0431,0.998
BL1,20,EO08,27,1,1.27,0.935
BL1,21,EO08,28,1,3.4427,0.825
BL1,22,EO08,29,1,0.6075,0.969
BL1,23,EO26,30,1,0.479,0.976
BL1,24,EO26,"31, 32",2,0.6559,0.967
BL1,25,EO26,"33, 34",2,0.4438,0.977
BL1,26,EO26,35,1,0.1297,0.993
BL1,27,EO26,36,1,0.0627,0.997
BL1,29,EO61,38,1,0.8895,0.955
BL2,4,EO68,5,1,0.0,1.0
BL2,19,EO70,26,1,0.0134,0.999
BL3,1,EO38,1,1,1.2259,0.938
BL3,2,EO118; EO76,"2, 4",2,11.5576,0.411
BL3,3,EO52,3,1,0.2593,0.987
BL4,8,EO27,9,1,0.0946,0.995
BL4,9,EO27,10,1,0.2434,0.988
BL4,10,EO27,"11, 12",2,19.6301,0.0
BL4,11,EO30,13,1,0.5268,0.973
BL4,28,EO27,37,1,5.5687,0.716
BL4,30,EO67,39,1,0.0,1.0
BL4,31,EO72,40,1,0.0,1.0
BL5,5,EO32,6,1,14.615,0.255
BL5,6,EO48,7,1,0.0,1.0
BL5,12,EO18,"15, 16, 17, 18, 19",5,8.0787,0.588
BL5,13,EO25,20,1,0.8133,0.959
BL5,14,EO25,21,1,0.0546,0.997
BL5,15,EO24,22,1,0.0,1.0
BL5,16,EO24,23,1,0.0,1.0
BL5,17,EO24,24,1,0.0,1.0
BL5,18,EO24,25,1,0.0,1.0
