Sample_ID	Library	Barcode	DNA_Extraction	EO	Ingroup	n_raw_haps	n_after_step4	n_after_step4b	n_after_step7b	Step9_classification	Proteins_in_final_data	SI_functional_status	Dominant_failure_mode	BL_status	Final_status	Exclusion_stage	Exclusion_reason
Library001_barcode01	1	1	103	27rt	1	28	28			too_many_alleles	0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(24))
Library001_barcode02	1	2	131	67	1	40	32			normal	8	Functional	premature_stop	Assigned	Included		
Library001_barcode03	1	3	132	96-16	1	24	8			dropped_abundance_filter	0	Functional	mixed		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: ambiguous_aa(4);premature_stop(3))
Library001_barcode04	1	4	124	702-3	1	36	16			normal	3	Functional	premature_stop	Unassigned	Included		
Library001_barcode05	1	5	123	712-5	1	24	24			normal	15	Functional	ambiguous_aa	Unassigned	Included		
Library001_barcode06	1	6	138	38	1	12	12			normal	12	Functional		Assigned	Included		
Library001_barcode07	1	7	41	61	1	32	32			low_functional_rate	8	Partial_translation_failure	premature_stop	Assigned	Included		
Library001_barcode08	1	8	141	70	1	24	20			normal	11	Functional	ambiguous_aa	Assigned	Included		
Library001_barcode09	1	9	146	76	1	32	28			normal	13	Functional	premature_stop	Assigned	Included		
Library001_barcode10	1	10	137	25	1	28	24			normal	9	Functional	premature_stop	Assigned	Included		
Library001_barcode11	1	11	88	709	1	36	28			normal	10	Functional	premature_stop	Unassigned	Included		
Library001_barcode12	1	12	129	15	1	32	28			low_functional_rate	4	Partial_translation_failure	premature_stop	Inferred	Included		
Library001_barcode13	1	13	42	18	1	24	16			low_functional_rate	3	Partial_translation_failure	premature_stop	Assigned	Included		
Library001_barcode14	1	14	33	118	1	64	32			low_functional_rate	12	Partial_translation_failure	premature_stop	Assigned	Included		
Library001_barcode15	1	15	145		0	36	32			dropped_abundance_filter	0	Partial_translation_failure	premature_stop		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: premature_stop(22);ambiguous_aa(4))
Library001_barcode16	1	16	39	27	1	32	20			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library001_barcode17	1	17	130	76	1	68	44			low_functional_rate	12	Partial_translation_failure	mixed	Assigned	Included		
Library001_barcode18	1	18	128	26-3	1	68	48			low_functional_rate	18	Partial_translation_failure	premature_stop	Inferred	Included		
Library001_barcode19	1	19	76	27pv	1	24	12			normal	8	Functional	premature_stop	Assigned	Included		
Library001_barcode20	1	20	38	18	1	16	8			normal	6	Functional	premature_stop	Assigned	Included		
Library001_barcode21	1	21	37	8	1	32	32			low_functional_rate	5	Partial_translation_failure	mixed	Assigned	Included		
Library001_barcode22	1	22	140	29	1	32	28			dropped_abundance_filter	0	Partial_translation_failure	premature_stop		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: premature_stop(52);ambiguous_aa(8))
Library002_barcode23	2	23	84	96-16	1	32	32			normal	20	Functional	premature_stop	Unassigned	Included		
Library002_barcode24	2	24	55	montanum	0	28	24			normal	8	Functional	mixed		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)
Library002_barcode25	2	25	52	montanum	0	4	4			no_functional_proteins	0	Complete_loss	ambiguous_aa		Excluded	Step 9 — no_functional_proteins	all sequences carry X residues from N-rich data — quality issue, NOT a biological SI escape; re-sequencing may help (would have been caught by Step 7b if applied) (Top failures: ambiguous_aa(8);premature_stop(2))
Library002_barcode26	2	26	50	freemontii	0	20	16			normal	4	Functional	premature_stop		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)
Library002_barcode27	2	27	47	freemontii	0	28	24			dropped_abundance_filter	0	Partial_translation_failure	mixed		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: premature_stop(13);ambiguous_aa(8))
Library002_barcode28	2	28	45	27rt	1	36	24			low_functional_rate	8	Partial_translation_failure	mixed	Assigned	Included		
Library002_barcode29	2	29	93	405	1	32	24			low_functional_rate	6	Partial_translation_failure	mixed	Unassigned	Included		
Library002_barcode30	2	30	86	98-2	1	8	0					NA			Excluded	Step 4 — length filter	8 raw haps, 0 passed 3250–4000 bp length filter — likely fragmented or chimeric assembly; re-sequencing recommended
Library002_barcode31	2	31	66	25	1	36	28			normal	15	Functional	premature_stop	Assigned	Included		
Library002_barcode32	2	32	116	48	1	28	24			normal	13	Functional	premature_stop	Assigned	Included		
Library002_barcode33	2	33	126	97-6	1	4	4			no_functional_proteins	0	Complete_loss	premature_stop		Excluded	Step 9 — no_functional_proteins	all sequences carry premature stop codons — strong candidate for ongoing SI breakdown / self-compatibility escape; recommend controlled selfing test to phenotype (Top failures: premature_stop(8))
Library002_barcode34	2	34	125	84-2	1	28	28			low_functional_rate	9	Partial_translation_failure	premature_stop	Unassigned	Included		
Library002_barcode35	2	35	114	52	1	52	36			low_functional_rate	10	Partial_translation_failure	premature_stop	Assigned	Included		
Library002_barcode36	2	36	127	704	1	16	16			low_functional_rate	4	Partial_translation_failure	premature_stop	Unassigned	Included		
Library002_barcode37	2	37	119	18	1	20	20			normal	8	Functional	premature_stop	Assigned	Included		
Library002_barcode38	2	38	111	15	1	40	24			normal	12	Functional	premature_stop	Inferred	Included		
Library002_barcode39	2	39	117	70	1	32	28			normal	19	Functional	premature_stop	Assigned	Included		
Library002_barcode40	2	40	112	8	1	36	36			too_many_alleles	0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(20))
Library002_barcode41	2	41	122	24-14	1	52	32			too_many_alleles	0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(20))
Library002_barcode42	2	42	120	29	1	20	20			normal	12	Functional	mixed	Assigned	Included		
Library002_barcode43	2	43	115	118	1	32	32			normal	14	Functional	mixed	Assigned	Included		
Library002_barcode44	2	44	67	67	1	20	16			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
Library002_barcode45	2	45	73	52	1	28	28			dropped_abundance_filter	0	Partial_translation_failure	premature_stop		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: premature_stop(20))
Library002_barcode46	2	46	74	68	1	36	20			normal	8	Functional	premature_stop	Assigned	Included		
Library002_barcode47	2	47	70	8	1	36	28			normal	12	Functional	mixed	Assigned	Included		
Library002_barcode48	2	48	72	118	1	40	36			low_functional_rate	16	Partial_translation_failure	premature_stop	Assigned	Included		
Library002_barcode49	2	49	69	29	1	20	16			no_functional_proteins	0	Complete_loss	premature_stop		Excluded	Step 9 — no_functional_proteins	all sequences carry premature stop codons — strong candidate for ongoing SI breakdown / self-compatibility escape; recommend controlled selfing test to phenotype (Top failures: premature_stop(26);ambiguous_aa(12))
Library002_barcode50	2	50	75	24a	1	36	28			normal	11	Functional	mixed	Assigned	Included		
Library002_barcode51	2	51	65	18	1	64	48			too_many_alleles	0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(28);ambiguous_aa(12))
Library002_barcode52	2	52	150	702-24	1	28	8			normal	7	Functional		Unassigned	Included		
Library002_barcode53	2	53	151	715-1	1	48	36			too_many_alleles	0	Functional	mixed		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(14);ambiguous_aa(12))
Library002_barcode54	2	54	152	montanum	0	44	32			low_functional_rate	8	Partial_translation_failure	mixed		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)
Library002_barcode55	2	55	153	montanum	0	52	36			normal	11	Functional	premature_stop		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)
Library002_barcode56	2	56	154	philonitron	0	52	28			low_functional_rate	8	Partial_translation_failure	mixed		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)
Library002_barcode57	2	57	155	68	1	32	28			low_functional_rate	9	Partial_translation_failure	mixed	Assigned	Included		
Library002_barcode58	2	58	156	68	1	20	12			low_functional_rate	4	Partial_translation_failure	premature_stop	Assigned	Included		
