Level	Population	N_individuals	N_alleles	Initial_slope	Tail_slope	Late_fraction	MM_estimate	Chao1_estimate	iNEXT_estimate	N_more_next_allele	N_more_80pct_MM	N_more_90pct_MM	N_more_95pct_MM	N_more_99pct_MM
Species	All	367	49	0.9275	0.0427499999999998	0.203326530612245	59	54	NA	117	0	417	1288	8256
EO	EO27	61	22	1.0415	0.1165	0.248227272727273	31	24	NA	11	39	164	413	2406
EO	EO67	37	10	0.826	0.0662500000000001	0.161	12	11	NA	47	0	31	107	711
EO	EO18	39	14	0.8225	0.1135	0.245071428571429	21	15	NA	6	32	120	296	1706
EO	EO25	51	14	1.038	0.05925	0.160928571428571	17	16	NA	24	0	38	137	928
EO	EO76	76	14	0.91025	0.0407500000000001	0.129428571428571	16	17	NA	91	0	24	135	1021
EO	EO08	8	4	0.50275	0.30475	0.30475	7	6	NA	5	13	39	90	499
EO	EO70	74	6	0.267	0.03575	0.291833333333333	7	11	NA	NA	5	103	300	1871
BL	BL4	98	28	1.04425	0.0865	0.219107142857143	38	30	NA	11	37	205	542	3233
BL	BL5	92	23	0.99525	0.0722500000000004	0.206347826086956	30	24	NA	14	14	145	407	2507
BL	BL3	81	15	0.935	0.0387499999999998	0.1344	18	18	NA	16	0	28	148	1110
BL	BL1	11	5	0.5765	0.20125	0.2812	8	7	NA	4	8	32	79	454
BL	BL2	77	7	0.29925	0.0367500000000001	0.278571428571429	9	12	NA	106	15	129	356	2179
