N_individuals	N_alleles	X2	df	p_value	Level	Population	BL
367	49	4405.19268635724	48	0	Species	All	NA
8	4	9	3	0.0292908865348882	EO	EO08	BL1
74	6	285.69387755102	5	1.19010511557478e-59	EO	EO70	BL2
76	14	134.730496453901	13	2.38346512856458e-22	EO	EO76	BL3
61	22	172.035714285714	21	1.0406772335659e-25	EO	EO27	BL4
37	10	69.9859154929577	9	1.53240686133642e-11	EO	EO67	BL4
39	14	91.4444444444444	13	7.39325661646444e-14	EO	EO18	BL5
51	14	83	13	2.99803901514622e-12	EO	EO25	BL5
98	28	419.994535519126	27	4.17250687042397e-72	BL	BL4	BL4
92	23	293.531914893617	22	2.49610927899801e-49	BL	BL5	BL5
81	15	147.225806451613	14	2.57682963382719e-24	BL	BL3	BL3
11	5	11.4444444444444	4	0.0219980066945548	BL	BL1	BL1
77	7	341.17880794702	6	1.20761602928995e-70	BL	BL2	BL2
