level	group	BL	N	k_species	k_predicted_MM	DI_observed	DI_predicted	geno_mix	prop_AAAA	L_hat_from_AAAA	raw_copy_recovery	k_observed	k_rarefied30_mean	k_rarefied30_sd	shannon_H	evenness_J	chi2_uniform_p	P_compat_uniform_4x	P_compat_L0	P_compat_L0_lo	P_compat_L0_hi	P_compat_L0.10	P_compat_L0.10_lo	P_compat_L0.10_hi	P_compat_L0.25	P_compat_L0.25_lo	P_compat_L0.25_hi	P_compat_L0.50	P_compat_L0.50_lo	P_compat_L0.50_hi
BL	BL1	BL1	11	59	8.0	0.915	0.864	8:1:2:0:0	0.727	0.208	1.64	5	5.00	0.00	1.255	0.780	9.88e-06	0.000	0.092	0.030	0.117	0.182	0.127	0.205	0.319	0.273	0.338	0.546	0.515	0.558
BL	BL2	BL2	77	59	9.0	0.923	0.847	58:8:11:0:0	0.753	0.215	1.96	7	4.56	1.06	0.957	0.492	1.48e-147	0.000	0.045	0.032	0.062	0.141	0.129	0.156	0.284	0.274	0.296	0.523	0.516	0.531
BL	BL3	BL3	81	59	18.0	0.794	0.695	56:19:6:0:0	0.691	0.198	1.91	15	12.18	1.16	2.302	0.850	8.22e-50	0.467	0.389	0.298	0.423	0.450	0.368	0.481	0.541	0.474	0.567	0.694	0.649	0.711
BL	BL4	BL4	98	59	38.0	0.707	0.356	59:13:20:6:0	0.602	0.172	1.87	28	17.31	2.23	2.628	0.789	2.51e-174	0.714	0.432	0.325	0.496	0.488	0.392	0.547	0.574	0.494	0.622	0.716	0.662	0.748
BL	BL5	BL5	92	59	30.0	0.743	0.492	56:15:19:2:0	0.609	0.174	2.04	23	15.18	1.82	2.540	0.810	1.41e-113	0.652	0.425	0.331	0.476	0.483	0.398	0.528	0.569	0.498	0.607	0.713	0.665	0.738
EO	76	BL3	76	59	16.0	0.805	0.729	55:16:5:0:0	0.724	0.207	1.86	14	11.53	1.04	2.249	0.852	8.17e-45	0.429	0.371	0.282	0.401	0.433	0.354	0.461	0.528	0.462	0.550	0.685	0.641	0.700
EO	70	BL2	74	59	7.0	0.935	0.881	55:8:11:0:0	0.743	0.212	1.99	6	3.86	0.99	0.815	0.455	2.81e-127	0.000	0.035	0.028	0.043	0.132	0.125	0.139	0.276	0.271	0.283	0.518	0.514	0.522
EO	27	BL4	61	59	31.0	0.721	0.475	37:9:11:4:0	0.607	0.173	1.84	22	16.46	1.80	2.502	0.810	2.4e-72	0.636	0.411	0.289	0.464	0.470	0.360	0.518	0.559	0.467	0.598	0.706	0.644	0.732
EO	25	BL5	51	59	17.0	0.791	0.712	26:12:11:2:0	0.510	0.146	2.35	14	12.30	1.08	2.236	0.847	2.54e-28	0.429	0.362	0.259	0.404	0.426	0.333	0.463	0.521	0.444	0.553	0.681	0.629	0.702
EO	67	BL4	37	59	12.0	0.837	0.797	22:4:9:2:0	0.595	0.170	1.92	10	9.60	0.79	1.917	0.833	4.88e-25	0.200	0.252	0.141	0.310	0.327	0.226	0.379	0.439	0.355	0.483	0.626	0.570	0.655
EO	18	BL5	37	59	21.0	0.791	0.644	28:2:7:0:0	0.757	0.216	1.57	13	12.32	0.70	2.160	0.842	1.16e-31	0.385	0.316	0.180	0.365	0.384	0.262	0.429	0.487	0.385	0.524	0.658	0.590	0.683
