EO	n_individuals	mean_GFS	sd_GFS	se_GFS	prop_ABCD	prop_AABC	prop_AABB	prop_AAAB	prop_AAAA	n_ABCD	n_AABC	n_AABB	n_AAAB	n_AAAA	TP2_mean_breach	TP2_AAAA_breach	TP2_status	BL
EO27	61	0.249	0.32	0.041	0	0.066	0.18	0.148	0.607	0	4	11	9	37	TRUE	TRUE	CRITICAL	BL4
EO67	37	0.261	0.328	0.054	0	0.054	0.243	0.108	0.595	0	2	9	4	22	TRUE	TRUE	CRITICAL	BL4
EO18	39	0.158	0.276	0.044	0	0	0.179	0.077	0.744	0	0	7	3	29	TRUE	TRUE	CRITICAL	BL5
EO25	51	0.294	0.312	0.044	0	0.039	0.216	0.235	0.51	0	2	11	12	26	TRUE	TRUE	CRITICAL	BL5
EO24	1	0	NA	NA	0	0	0	0	1	0	0	0	0	1	TRUE	TRUE	CRITICAL	BL5
EO48	1	0.667	NA	NA	0	0	1	0	0	0	0	1	0	0	FALSE	FALSE	OK	BL5
EO118	3	0.556	0.096	0.056	0	0	0.333	0.667	0	0	0	1	2	0	TRUE	FALSE	AT RISK	BL3
EO76	76	0.149	0.246	0.028	0	0	0.066	0.211	0.724	0	0	5	16	55	TRUE	TRUE	CRITICAL	BL3
EO38	1	0	NA	NA	0	0	0	0	1	0	0	0	0	1	TRUE	TRUE	CRITICAL	BL3
EO52	1	0.5	NA	NA	0	0	0	1	0	0	0	0	1	0	TRUE	FALSE	AT RISK	BL3
EO08	8	0.083	0.236	0.083	0	0	0.125	0	0.875	0	0	1	0	7	TRUE	TRUE	CRITICAL	BL1
EO61	1	0	NA	NA	0	0	0	0	1	0	0	0	0	1	TRUE	TRUE	CRITICAL	BL1
EO26	1	0.5	NA	NA	0	0	0	1	0	0	0	0	1	0	TRUE	FALSE	AT RISK	BL1
EO29	1	0.667	NA	NA	0	0	1	0	0	0	0	1	0	0	FALSE	FALSE	OK	BL1
EO70	74	0.153	0.266	0.031	0	0	0.149	0.108	0.743	0	0	11	8	55	TRUE	TRUE	CRITICAL	BL2
EO68	3	0	0	0	0	0	0	0	1	0	0	0	0	3	TRUE	TRUE	CRITICAL	BL2
