Allele,Synonymy_group,Group_size,Obs_count,AAAA_count,Group_obs_total
Allele_001,Isolated,1,0,0,0
Allele_002,Isolated,1,2,2,2
Allele_004,Isolated,1,2,1,2
Allele_025,Isolated,1,7,3,7
Allele_030,Isolated,1,6,1,6
Allele_031,Isolated,1,3,1,3
Allele_037,Isolated,1,7,1,7
Allele_043,Isolated,1,92,46,92
Allele_048,Isolated,1,1,0,1
Allele_049,Isolated,1,1,0,1
Allele_050,Isolated,1,1,0,1
Allele_005,Synonymy group 1,34,1,0,364
Allele_006,Synonymy group 1,34,11,2,364
Allele_007,Synonymy group 1,34,9,5,364
Allele_008,Synonymy group 1,34,0,0,364
Allele_009,Synonymy group 1,34,0,0,364
Allele_010,Synonymy group 1,34,1,0,364
Allele_013,Synonymy group 1,34,11,5,364
Allele_014,Synonymy group 1,34,1,0,364
Allele_015,Synonymy group 1,34,1,0,364
Allele_016,Synonymy group 1,34,13,7,364
Allele_017,Synonymy group 1,34,5,4,364
Allele_018,Synonymy group 1,34,26,15,364
Allele_019,Synonymy group 1,34,1,0,364
Allele_020,Synonymy group 1,34,6,3,364
Allele_022,Synonymy group 1,34,6,2,364
Allele_023,Synonymy group 1,34,1,0,364
Allele_024,Synonymy group 1,34,7,2,364
Allele_026,Synonymy group 1,34,3,2,364
Allele_027,Synonymy group 1,34,5,3,364
Allele_028,Synonymy group 1,34,13,5,364
Allele_029,Synonymy group 1,34,2,0,364
Allele_032,Synonymy group 1,34,11,5,364
Allele_033,Synonymy group 1,34,7,1,364
Allele_034,Synonymy group 1,34,4,4,364
Allele_035,Synonymy group 1,34,2,1,364
Allele_036,Synonymy group 1,34,1,0,364
Allele_038,Synonymy group 1,34,2,1,364
Allele_039,Synonymy group 1,34,33,16,364
Allele_040,Synonymy group 1,34,22,10,364
Allele_044,Synonymy group 1,34,8,2,364
Allele_045,Synonymy group 1,34,5,1,364
Allele_046,Synonymy group 1,34,144,85,364
Allele_047,Synonymy group 1,34,1,0,364
Allele_051,Synonymy group 1,34,1,0,364
Allele_003,Synonymy group 2,6,2,2,11
Allele_011,Synonymy group 2,6,0,0,11
Allele_012,Synonymy group 2,6,0,0,11
Allele_021,Synonymy group 2,6,3,1,11
Allele_042,Synonymy group 2,6,5,1,11
Allele_055,Synonymy group 2,6,1,0,11
Allele_041,Synonymy group 3,2,1,0,3
Allele_052,Synonymy group 3,2,2,1,3
Allele_053,Synonymy group 4,2,0,0,1
Allele_054,Synonymy group 4,2,1,0,1
