Sample_ID	Library	Barcode	input_reads	raw_reads	raw_total_bases	raw_p10_len	raw_median_len	raw_p90_len	raw_n50_len	raw_n_above_3kb	raw_pct_above_3kb	raw_mean_phred_all_bases	raw_mean_phred_per_read	canu_n_contigs_rep1	canu_n_contigs_rep2	canu_n_contigs_rep3	canu_n_contigs_rep4	canu_n_contigs_total	n_combined_contigs	n_unique_contigs	contig_min_len	contig_median_len	contig_max_len	contig_n50	contig_n_in_step4_range	contig_n_below_step4_min	contig_n_above_step4_max	contig_pct_in_step4_range	chim_n_keep	chim_n_drop	chim_median_uniformity	chim_pct_dropped	EO_normalised	BL_inferred	n_haps_OK	n_haps_REMOVED	n_haps_chimeric	n_haps_total	SI_status	Lab_action	Exclusion_stage	pass_si_threshold	failure_mode	recommended_action
Library001_barcode01	Library001	barcode01	561	16440	9743730	90	375	1435	993	205	1.2469586374695865	30.96	29.05	2.0	1.0	2.0	2.0	7.0	7.0	7.0	3322.0	3360.0	3361.0	3360.0	7.0	0.0	0.0	100.0	5.0	2.0	0.319	28.6	EO27rt	Unassigned	16.0	0.0	12.0	16.0	SI	Re-DNA-extraction	Step 9 — too_many_alleles	True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode02	Library001	barcode02	569	17629	9054389	97	309	1225	876	139	0.788473537920472	31.01	29.24	2.0	3.0	2.0	3.0	10.0	10.0	10.0	1148.0	3524.0	3533.0	3524.0	8.0	2.0	0.0	80.0	8.0	2.0	0.408	20.0	EO67	BL4	23.0	4.0	5.0	27.0	pSI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode03	Library001	barcode03	546	17309	9816547	103	327	1454	1005	83	0.47951932520653995	30.84	28.9	2.0	2.0	1.0	2.0	7.0	7.0	6.0	3015.0	3274.0	3532.0	3530.0	3.0	3.0	0.0	50.0	6.0	0.0	0.593	0.0	EO96	Unassigned	5.0	0.0	3.0	5.0	SI	Re-PCR	Step 9 — dropped_abundance_filter	True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode04	Library001	barcode04	530	12788	8342067	105	389	1715	1182	203	1.5874257116046293	31.16	29.25	3.0	3.0	2.0	2.0	10.0	10.0	9.0	3010.0	3223.0	3370.0	3223.0	4.0	5.0	0.0	44.4	9.0	0.0	0.593	0.0	EO702	Unassigned	14.0	0.0	2.0	14.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode05	Library001	barcode05	519	10205	6774312	89	404	1751	1222	224	2.19500244977952	31.47	29.63	2.0	2.0	1.0	2.0	7.0	7.0	6.0	3257.0	3362.0	3530.0	3365.0	6.0	0.0	0.0	100.0	5.0	1.0	0.524	16.7	EO712	Unassigned	23.0	0.0	1.0	23.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode06	Library001	barcode06	542	12914	7573720	92	357	1447	983	145	1.1228124516029117	31.26	29.43	1.0	1.0	1.0	1.0	4.0	4.0	3.0	3359.0	3360.0	3361.0	3360.0	3.0	0.0	0.0	100.0	3.0	0.0	0.653	0.0	EO38	BL3	12.0	0.0	0.0	12.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode07	Library001	barcode07	529	14755	8814808	72	351	1568	1136	205	1.3893595391392748	31.24	28.95	2.0	2.0	3.0	2.0	9.0	9.0	8.0	3358.0	3860.0	3912.0	3899.0	8.0	0.0	0.0	100.0	3.0	5.0	0.157	62.5	EO61	BL1	14.0	0.0	18.0	14.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode08	Library001	barcode08	512	6349	4109371	88	381	1573	1162	158	2.4885808788785635	31.21	29.17	1.0	3.0	2.0	2.0	8.0	8.0	6.0	1490.0	3741.0	3898.0	3889.0	5.0	1.0	0.0	83.3	6.0	0.0	0.4	0.0	EO70	BL2	19.0	0.0	1.0	19.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode09	Library001	barcode09	538	15616	9406241	83	372	1483	1042	206	1.3191598360655739	31.15	29.37	3.0	2.0	2.0	2.0	9.0	9.0	8.0	1366.0	3624.0	3901.0	3886.0	7.0	1.0	0.0	87.5	5.0	3.0	0.228	37.5	EO76	BL3	13.0	0.0	15.0	13.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode10	Library001	barcode10	547	8607	5050360	96	367	1432	989	91	1.0572789589868712	31.24	29.48	1.0	1.0	2.0	3.0	7.0	7.0	7.0	1214.0	3360.0	3364.0	3360.0	6.0	1.0	0.0	85.7	7.0	0.0	0.495	0.0	EO25	BL5	17.0	0.0	7.0	17.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode11	Library001	barcode11	544	18527	11365278	97	367	1544	1075	298	1.6084633237977006	31.12	29.31	3.0	2.0	2.0	2.0	9.0	9.0	9.0	1035.0	3362.0	3535.0	3363.0	7.0	2.0	0.0	77.8	9.0	0.0	0.494	0.0	EO709	Unassigned	14.0	0.0	14.0	14.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode12	Library001	barcode12	553	5273	3156732	101	384	1406	974	57	1.0809785700739616	31.36	29.71	2.0	3.0	2.0	2.0	9.0	9.0	8.0	1543.0	3643.0	3927.0	3923.0	7.0	1.0	0.0	87.5	5.0	3.0	0.407	37.5	EO18	BL5	9.0	0.0	19.0	9.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode13	Library001	barcode13	559	16513	10598119	101	420	1554	1044	225	1.362562829286017	31.4	29.76	2.0	1.0	2.0	1.0	6.0	6.0	6.0	2877.0	3359.0	3362.0	3360.0	4.0	2.0	0.0	66.7	4.0	2.0	0.317	33.3	EO18	BL5	5.0	0.0	11.0	5.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode14	Library001	barcode14	563	8978	5457983	98	395	1429	985	90	1.0024504343951883	31.05	29.19	7.0	1.0	6.0	2.0	16.0	16.0	16.0	1264.0	3174.0	3359.0	3259.0	8.0	8.0	0.0	50.0	9.0	7.0	0.257	43.8	EO118	BL3	12.0	0.0	20.0	12.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode15	Library001	barcode15	557	13307	7961889	80	385	1394	1016	175	1.3150973172014728	31.3	29.34	2.0	1.0	4.0	2.0	9.0	9.0	9.0	3014.0	3316.0	3448.0	3316.0	8.0	1.0	0.0	88.9	9.0	0.0	0.433	0.0							Not_in_SI_table	Functional / not flagged		False	not_in_SI_status_table	Not part of the ingroup SI analysis — no action required.
Library001_barcode16	Library001	barcode16	540	9761	5888470	79	361	1493	1098	148	1.5162380903595942	31.21	29.33	4.0	1.0	2.0	2.0	9.0	9.0	8.0	1321.0	3358.0	3911.0	3369.0	5.0	3.0	0.0	62.5	6.0	2.0	0.559	25.0	EO27	BL4	7.0	0.0	13.0	7.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode17	Library001	barcode17	553	9960	5990052	99	379	1426	985	129	1.2951807228915664	31.18	29.47	4.0	3.0	7.0	3.0	17.0	17.0	17.0	1346.0	3341.0	3363.0	3342.0	11.0	6.0	0.0	64.7	9.0	8.0	0.265	47.1	EO76	BL3	16.0	0.0	28.0	16.0	SI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
Library001_barcode18	Library001	barcode18	532	11257	6723820	87	380	1452	980	122	1.0837700986053123	31.28	29.56	8.0	2.0	3.0	4.0	17.0	17.0	17.0	1597.0	3358.0	3360.0	3358.0	12.0	5.0	0.0	70.6	16.0	1.0	0.356	5.9	EO26	BL1	18.0	8.0	22.0	26.0	pSI	Functional / not flagged		True	none — SI call achieved	Use directly (sample is functional in current dataset).
