scenario	BL	replicate	time_to_sc
baseline	BL1	0	6.0
baseline	BL1	1	123.0
baseline	BL1	2	
baseline	BL1	3	
baseline	BL1	4	
baseline	BL1	5	
baseline	BL1	6	
baseline	BL1	7	67.0
baseline	BL1	8	13.0
baseline	BL1	9	
baseline	BL1	10	18.0
baseline	BL1	11	
baseline	BL1	12	23.0
baseline	BL1	13	7.0
baseline	BL1	14	10.0
baseline	BL1	15	
baseline	BL1	16	
baseline	BL1	17	
baseline	BL1	18	
baseline	BL1	19	11.0
baseline	BL1	20	90.0
baseline	BL1	21	10.0
baseline	BL1	22	
baseline	BL1	23	11.0
baseline	BL1	24	
baseline	BL1	25	48.0
baseline	BL1	26	108.0
baseline	BL1	27	14.0
baseline	BL1	28	11.0
baseline	BL1	29	157.0
baseline	BL1	30	
baseline	BL1	31	
baseline	BL1	32	
baseline	BL1	33	161.0
baseline	BL1	34	
baseline	BL1	35	
baseline	BL1	36	14.0
baseline	BL1	37	
baseline	BL1	38	
baseline	BL1	39	181.0
baseline	BL1	40	
baseline	BL1	41	9.0
baseline	BL1	42	9.0
baseline	BL1	43	8.0
baseline	BL1	44	6.0
baseline	BL1	45	10.0
baseline	BL1	46	11.0
baseline	BL1	47	20.0
baseline	BL1	48	7.0
baseline	BL1	49	
baseline	BL2	0	168.0
baseline	BL2	1	
baseline	BL2	2	71.0
baseline	BL2	3	24.0
baseline	BL2	4	31.0
baseline	BL2	5	16.0
baseline	BL2	6	15.0
baseline	BL2	7	21.0
baseline	BL2	8	193.0
baseline	BL2	9	14.0
baseline	BL2	10	68.0
baseline	BL2	11	19.0
baseline	BL2	12	23.0
baseline	BL2	13	21.0
baseline	BL2	14	19.0
baseline	BL2	15	115.0
baseline	BL2	16	14.0
baseline	BL2	17	31.0
baseline	BL2	18	20.0
baseline	BL2	19	24.0
baseline	BL2	20	18.0
baseline	BL2	21	68.0
baseline	BL2	22	19.0
baseline	BL2	23	20.0
baseline	BL2	24	21.0
baseline	BL2	25	26.0
baseline	BL2	26	19.0
baseline	BL2	27	55.0
baseline	BL2	28	17.0
baseline	BL2	29	36.0
baseline	BL2	30	137.0
baseline	BL2	31	39.0
baseline	BL2	32	47.0
baseline	BL2	33	24.0
baseline	BL2	34	16.0
baseline	BL2	35	14.0
baseline	BL2	36	21.0
baseline	BL2	37	16.0
baseline	BL2	38	17.0
baseline	BL2	39	31.0
baseline	BL2	40	37.0
baseline	BL2	41	18.0
baseline	BL2	42	35.0
baseline	BL2	43	104.0
baseline	BL2	44	23.0
baseline	BL2	45	147.0
baseline	BL2	46	22.0
baseline	BL2	47	18.0
baseline	BL2	48	31.0
baseline	BL2	49	60.0
baseline	BL3	0	32.0
baseline	BL3	1	60.0
baseline	BL3	2	155.0
baseline	BL3	3	86.0
baseline	BL3	4	171.0
baseline	BL3	5	66.0
baseline	BL3	6	33.0
baseline	BL3	7	31.0
baseline	BL3	8	57.0
baseline	BL3	9	24.0
baseline	BL3	10	63.0
baseline	BL3	11	29.0
baseline	BL3	12	34.0
baseline	BL3	13	25.0
baseline	BL3	14	56.0
baseline	BL3	15	
baseline	BL3	16	26.0
baseline	BL3	17	38.0
baseline	BL3	18	44.0
baseline	BL3	19	25.0
baseline	BL3	20	43.0
baseline	BL3	21	193.0
baseline	BL3	22	24.0
baseline	BL3	23	43.0
baseline	BL3	24	77.0
baseline	BL3	25	24.0
baseline	BL3	26	35.0
baseline	BL3	27	120.0
baseline	BL3	28	29.0
baseline	BL3	29	42.0
baseline	BL3	30	130.0
baseline	BL3	31	34.0
baseline	BL3	32	
baseline	BL3	33	176.0
baseline	BL3	34	29.0
baseline	BL3	35	53.0
baseline	BL3	36	160.0
baseline	BL3	37	47.0
baseline	BL3	38	41.0
baseline	BL3	39	33.0
baseline	BL3	40	22.0
baseline	BL3	41	26.0
baseline	BL3	42	30.0
baseline	BL3	43	35.0
baseline	BL3	44	32.0
baseline	BL3	45	38.0
baseline	BL3	46	62.0
baseline	BL3	47	48.0
baseline	BL3	48	
baseline	BL3	49	32.0
baseline	BL4	0	
baseline	BL4	1	43.0
baseline	BL4	2	40.0
baseline	BL4	3	198.0
baseline	BL4	4	33.0
baseline	BL4	5	
baseline	BL4	6	68.0
baseline	BL4	7	
baseline	BL4	8	57.0
baseline	BL4	9	
baseline	BL4	10	37.0
baseline	BL4	11	48.0
baseline	BL4	12	
baseline	BL4	13	118.0
baseline	BL4	14	36.0
baseline	BL4	15	
baseline	BL4	16	45.0
baseline	BL4	17	95.0
baseline	BL4	18	59.0
baseline	BL4	19	47.0
baseline	BL4	20	60.0
baseline	BL4	21	42.0
baseline	BL4	22	29.0
baseline	BL4	23	143.0
baseline	BL4	24	132.0
baseline	BL4	25	
baseline	BL4	26	186.0
baseline	BL4	27	89.0
baseline	BL4	28	
baseline	BL4	29	111.0
baseline	BL4	30	149.0
baseline	BL4	31	44.0
baseline	BL4	32	100.0
baseline	BL4	33	
baseline	BL4	34	49.0
baseline	BL4	35	32.0
baseline	BL4	36	128.0
baseline	BL4	37	167.0
baseline	BL4	38	145.0
baseline	BL4	39	117.0
baseline	BL4	40	
baseline	BL4	41	
baseline	BL4	42	29.0
baseline	BL4	43	39.0
baseline	BL4	44	146.0
baseline	BL4	45	39.0
baseline	BL4	46	56.0
baseline	BL4	47	42.0
baseline	BL4	48	40.0
baseline	BL4	49	73.0
baseline	BL5	0	195.0
baseline	BL5	1	58.0
baseline	BL5	2	109.0
baseline	BL5	3	170.0
baseline	BL5	4	59.0
baseline	BL5	5	30.0
baseline	BL5	6	
baseline	BL5	7	96.0
baseline	BL5	8	
baseline	BL5	9	38.0
baseline	BL5	10	171.0
baseline	BL5	11	
baseline	BL5	12	96.0
baseline	BL5	13	31.0
