Sample_ID	EO_normalised	BL_inferred	n_haps_OK	n_haps_REMOVED	n_haps_chimeric	n_haps_total	frac_nonfunctional	copies_functional	copies_nonfunctional	SI_status	pSI_confidence
Library001_barcode21	EO08	BL1	16	0	16	16	0.0	4	0	SI	
Library002_barcode40	EO08	BL1	26	0	10	26	0.0	4	0	SI	
Library002_barcode47	EO08	BL1	19	0	9	19	0.0	4	0	SI	
Library011_barcode33	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode41	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode42	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode43	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode44	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode45	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode46	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode47	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode48	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode52	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode53	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode54	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode55	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode56	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode65	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode66	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode67	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode68	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode69	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode75	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode76	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode77	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode78	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode79	EO08	BL1	0	0	0	0				Insufficient_data	
Library011_barcode80	EO08	BL1	0	0	0	0				Insufficient_data	
Library001_barcode18	EO26	BL1	18	8	22	26	0.3077	3	1	pSI	high
Library001_barcode22	EO29	BL1	2	0	26	2	0.0			Insufficient_data	
Library002_barcode42	EO29	BL1	16	0	4	16	0.0	4	0	SI	
Library002_barcode49	EO29	BL1	2	0	14	2	0.0			Insufficient_data	
Library001_barcode07	EO61	BL1	14	0	18	14	0.0	4	0	SI	
Library002_barcode46	EO68	BL2	11	0	9	11	0.0	4	0	SI	
Library002_barcode57	EO68	BL2	17	0	11	17	0.0	4	0	SI	
Library002_barcode58	EO68	BL2	4	0	8	4	0.0	4	0	SI	
Library001_barcode08	EO70	BL2	19	0	1	19	0.0	4	0	SI	
Library002_barcode39	EO70	BL2	27	0	1	27	0.0	4	0	SI	
Library008_barcode01	EO70	BL2	24	0	12	24	0.0	4	0	SI	
Library008_barcode02	EO70	BL2	30	0	2	30	0.0	4	0	SI	
Library008_barcode03	EO70	BL2	16	0	20	16	0.0	4	0	SI	
Library008_barcode04	EO70	BL2	8	0	4	8	0.0	4	0	SI	
Library008_barcode05	EO70	BL2	11	0	1	11	0.0	4	0	SI	
Library008_barcode06	EO70	BL2	6	0	18	6	0.0	4	0	SI	
Library008_barcode07	EO70	BL2	15	0	13	15	0.0	4	0	SI	
Library008_barcode08	EO70	BL2	21	0	7	21	0.0	4	0	SI	
Library008_barcode09	EO70	BL2	16	0	4	16	0.0	4	0	SI	
Library008_barcode10	EO70	BL2	17	0	15	17	0.0	4	0	SI	
Library008_barcode11	EO70	BL2	3	0	5	3	0.0			Insufficient_data	
Library008_barcode12	EO70	BL2	16	0	8	16	0.0	4	0	SI	
Library008_barcode13	EO70	BL2	16	0	20	16	0.0	4	0	SI	
Library008_barcode14	EO70	BL2	2	0	2	2	0.0			Insufficient_data	
Library008_barcode15	EO70	BL2	15	0	5	15	0.0	4	0	SI	
Library008_barcode16	EO70	BL2	4	0	4	4	0.0	4	0	SI	
Library008_barcode17	EO70	BL2	4	0	4	4	0.0	4	0	SI	
Library008_barcode18	EO70	BL2	7	4	9	11	0.3636	3	1	pSI	high
Library008_barcode19	EO70	BL2	12	0	24	12	0.0	4	0	SI	
Library008_barcode20	EO70	BL2	10	4	6	14	0.2857	3	1	pSI	high
Library008_barcode21	EO70	BL2	8	0	8	8	0.0	4	0	SI	
Library008_barcode22	EO70	BL2	18	0	10	18	0.0	4	0	SI	
Library008_barcode23	EO70	BL2	13	0	15	13	0.0	4	0	SI	
Library008_barcode24	EO70	BL2	15	4	5	19	0.2105	3	1	pSI	low
Library008_barcode25	EO70	BL2	32	0	4	32	0.0	4	0	SI	
Library008_barcode26	EO70	BL2	7	0	13	7	0.0	4	0	SI	
Library008_barcode27	EO70	BL2	11	0	17	11	0.0	4	0	SI	
Library008_barcode28	EO70	BL2	11	0	5	11	0.0	4	0	SI	
Library008_barcode29	EO70	BL2	4	0	0	4	0.0	4	0	SI	
Library008_barcode30	EO70	BL2	4	0	4	4	0.0	4	0	SI	
