recipient_level	recipient_group	recipient_BL	recipient_N	k_recipient	donor_level	donor_group	donor_BL	donor_N	k_donor	tier	rank_in_tier	novel_alleles	shared_alleles	k_after_injection	pct_species_gap_closed	pct_observed_gap_closed	novel_allele_ids
BL	BL1	BL1	11	5	BL	BL4	BL4	98	28	cross-BL	1	23	5	28	42.6	52.3	Allele_004,Allele_005,Allele_006,Allele_017,Allele_018,Allele_020,Allele_023,Allele_026,Allele_027,Allele_028,Allele_029,Allele_030,Allele_031,Allele_032,Allele_035,Allele_036,Allele_037,Allele_038,Allele_039,Allele_042,Allele_044,Allele_045,Allele_051
BL	BL1	BL1	11	5	BL	BL5	BL5	92	23	cross-BL	2	19	4	24	35.2	43.2	Allele_002,Allele_003,Allele_006,Allele_015,Allele_017,Allele_018,Allele_019,Allele_024,Allele_027,Allele_028,Allele_031,Allele_032,Allele_033,Allele_037,Allele_038,Allele_039,Allele_044,Allele_045,Allele_052
BL	BL1	BL1	11	5	EO	27	BL4	61	22	cross-BL	3	17	5	22	31.5	38.6	Allele_004,Allele_005,Allele_006,Allele_017,Allele_018,Allele_020,Allele_027,Allele_028,Allele_029,Allele_032,Allele_035,Allele_036,Allele_037,Allele_038,Allele_039,Allele_044,Allele_051
BL	BL1	BL1	11	5	BL	BL3	BL3	81	15	cross-BL	4	11	4	16	20.4	25.0	Allele_006,Allele_007,Allele_013,Allele_014,Allele_016,Allele_018,Allele_027,Allele_032,Allele_034,Allele_047,Allele_049
BL	BL1	BL1	11	5	EO	25	BL5	51	14	cross-BL	5	11	3	16	20.4	25.0	Allele_006,Allele_018,Allele_019,Allele_024,Allele_028,Allele_031,Allele_032,Allele_033,Allele_037,Allele_038,Allele_039
BL	BL1	BL1	11	5	EO	76	BL3	76	14	cross-BL	6	10	4	15	18.5	22.7	Allele_006,Allele_007,Allele_013,Allele_014,Allele_016,Allele_018,Allele_027,Allele_032,Allele_034,Allele_047
BL	BL1	BL1	11	5	EO	18	BL5	37	13	cross-BL	7	10	3	15	18.5	22.7	Allele_002,Allele_003,Allele_015,Allele_017,Allele_018,Allele_027,Allele_028,Allele_039,Allele_044,Allele_052
BL	BL1	BL1	11	5	EO	67	BL4	37	10	cross-BL	8	7	3	12	13.0	15.9	Allele_018,Allele_023,Allele_026,Allele_030,Allele_031,Allele_042,Allele_045
BL	BL1	BL1	11	5	BL	BL2	BL2	77	7	cross-BL	9	5	2	10	9.3	11.4	Allele_018,Allele_039,Allele_041,Allele_048,Allele_050
BL	BL1	BL1	11	5	EO	70	BL2	74	6	cross-BL	10	4	2	9	7.4	9.1	Allele_039,Allele_041,Allele_048,Allele_050
