BL	EO	Drift_index	N_individuals	N_SI	N_pSI	N_SC	N_alleles_functional	Effective_alleles_Ne_with_NULL	Prop_heterozygous	Mean_null_copies	Frac_nonfunctional_alleles	Prop_pSI	Top_alleles
BL4	EO27	0.675	61	38	3	0	22	8.591	0.393	0.049	0.012	0.049	Allele_046(52), Allele_039(50), Allele_028(24)
BL4	EO67	1	37	32	0	0	10	5.198	0.405	0	0	0	Allele_046(52), Allele_043(28), Allele_030(13)
BL5	EO18	0.588	39	32	1	0	14	6.689	0.256	0.051	0.013	0.026	Allele_046(50), Allele_043(20), Allele_018(12)
BL5	EO25	0.978	51	31	1	0	14	7.825	0.49	0.02	0.005	0.02	Allele_018(38), Allele_043(36), Allele_039(35)
BL5	EO24	1	1	1	0	0	1	1	0	0	0	0	Allele_046(4)
BL5	EO48	1	1	1	0	0	2	2	1	0	0	0	Allele_025(2), Allele_046(2)
BL3	EO118	0.411	3	3	0	0	5	4.235	1	0	0	0	Allele_043(4), Allele_027(3), Allele_006(2)
BL3	EO76	0.411	77	32	1	1	14	8.005	0.276	0.078	0.019	0.013	Allele_046(76), Allele_016(39), Allele_007(31)
BL3	EO38	0.938	1	1	0	0	1	1	0	0	0	0	Allele_006(4)
BL3	EO52	0.987	1	1	0	0	2	1.6	1	0	0	0	Allele_013(3), Allele_043(1)
BL1	EO08	0.91	8	2	0	0	4	2.51	0.125	0	0	0	Allele_043(18), Allele_025(8), Allele_046(4)
BL1	EO61	0.955	1	1	0	0	1	1	0	0	0	0	Allele_046(4)
BL1	EO26	0.982	1	0	1	0	2	2.667	1	1	0.25	1	Allele_046(2), Allele_040(1)
BL1	EO29	0.998	1	1	0	0	2	2	1	0	0	0	Allele_043(2), Allele_046(2)
BL2	EO70	0.999	74	43	2	0	6	2.009	0.257	0.027	0.007	0.027	Allele_046(181), Allele_043(104), Allele_039(3)
BL2	EO68	1	3	3	0	0	2	1.8	0	0	0	0	Allele_018(8), Allele_039(4)
