level	group	BL	N	N_SI	N_pSI	N_SC	k_species	k_predicted_MM	DI_observed	DI_predicted	k_observed	k_functional	n_null_copies	frac_null	k_rarefied30_mean	k_rarefied30_sd	shannon_H	evenness_J	chi2_uniform_p	P_compat_uniform_4x	P_compat_L0	P_compat_L0_lo	P_compat_L0_hi	P_compat_L0.10	P_compat_L0.10_lo	P_compat_L0.10_hi	P_compat_L0.25	P_compat_L0.25_lo	P_compat_L0.25_hi	P_compat_L0.50	P_compat_L0.50_lo	P_compat_L0.50_hi
BL	BL1	BL1	11	4	1	0	59	8.0	0.898	0.864	6	5	1	0.0227	6.00	0.00	1.335	0.745	1.69e-07	0.000	0.103	0.033	0.152	0.193	0.130	0.237	0.327	0.275	0.364	0.552	0.516	0.576
BL	BL2	BL2	77	45	3	0	59	9.0	0.910	0.847	8	7	2	0.0065	5.28	1.10	0.991	0.476	2.48e-174	0.000	0.048	0.034	0.065	0.143	0.130	0.158	0.286	0.275	0.299	0.524	0.517	0.532
BL	BL3	BL3	82	36	2	1	59	18.0	0.786	0.695	16	15	6	0.0183	12.63	1.23	2.349	0.847	2.61e-54	0.500	0.401	0.315	0.436	0.461	0.383	0.493	0.551	0.486	0.577	0.700	0.657	0.718
BL	BL4	BL4	98	68	5	0	59	38.0	0.697	0.356	29	28	3	0.0077	17.89	2.12	2.656	0.789	1.46e-179	0.724	0.438	0.331	0.501	0.494	0.398	0.551	0.578	0.498	0.626	0.719	0.665	0.751
BL	BL5	BL5	92	64	3	0	59	30.0	0.732	0.492	24	23	3	0.0082	15.79	1.82	2.575	0.810	4.59e-115	0.667	0.436	0.338	0.492	0.492	0.404	0.543	0.577	0.504	0.619	0.718	0.669	0.746
EO	76	BL3	77	31	2	1	59	16.0	0.793	0.729	15	14	6	0.0195	12.19	1.09	2.299	0.849	3.16e-49	0.467	0.384	0.292	0.417	0.445	0.363	0.476	0.538	0.469	0.563	0.692	0.646	0.709
EO	70	BL2	74	42	3	0	59	7.0	0.923	0.881	7	6	2	0.0068	4.53	1.10	0.850	0.437	1.59e-155	0.000	0.037	0.029	0.047	0.133	0.126	0.142	0.278	0.272	0.285	0.519	0.515	0.523
EO	27	BL4	61	37	4	0	59	31.0	0.707	0.475	23	22	3	0.0123	17.31	1.79	2.547	0.812	5.09e-73	0.652	0.424	0.302	0.479	0.482	0.372	0.532	0.568	0.476	0.610	0.712	0.651	0.740
EO	25	BL5	51	30	2	0	59	17.0	0.781	0.712	15	14	1	0.0049	12.89	1.16	2.257	0.833	2.42e-32	0.467	0.366	0.268	0.410	0.430	0.341	0.469	0.525	0.451	0.557	0.683	0.634	0.705
EO	67	BL4	37	31	1	0	59	12.0	0.838	0.797	10	10	0	0.0000	9.56	0.81	1.917	0.833	4.88e-25	0.200	0.252	0.148	0.312	0.327	0.233	0.381	0.439	0.361	0.484	0.626	0.574	0.656
EO	18	BL5	37	30	1	0	59	21.0	0.778	0.644	14	13	2	0.0135	13.09	0.79	2.218	0.840	2.56e-32	0.429	0.333	0.186	0.380	0.400	0.267	0.442	0.500	0.389	0.535	0.666	0.593	0.690
