BL	EO	n_individuals	mean_GFS_null	sd_GFS_null	prop_zero	prop_SI	prop_pSI	prop_SC	n_SC	TP2_mean_breach	TP2_zero_breach	TP2_status
BL4	EO27	61	0.249	0.32	0.607	0.623	0.049	0	0	TRUE	TRUE	CRITICAL
BL4	EO67	37	0.261	0.328	0.595	0.865	0	0	0	TRUE	TRUE	CRITICAL
BL5	EO18	39	0.158	0.276	0.744	0.821	0.026	0	0	TRUE	TRUE	CRITICAL
BL5	EO25	51	0.294	0.312	0.51	0.608	0.02	0	0	TRUE	TRUE	CRITICAL
BL5	EO24	1	0	NA	1	1	0	0	0	TRUE	TRUE	CRITICAL
BL5	EO48	1	0.667	NA	0	1	0	0	0	FALSE	FALSE	OK
BL3	EO118	3	0.556	0.096	0	1	0	0	0	TRUE	FALSE	AT RISK
BL3	EO76	77	0.147	0.245	0.727	0.416	0.013	0.013	1	TRUE	TRUE	CRITICAL
BL3	EO38	1	0	NA	1	1	0	0	0	TRUE	TRUE	CRITICAL
BL3	EO52	1	0.5	NA	0	1	0	0	0	TRUE	FALSE	AT RISK
BL1	EO08	8	0.083	0.236	0.875	0.25	0	0	0	TRUE	TRUE	CRITICAL
BL1	EO61	1	0	NA	1	1	0	0	0	TRUE	TRUE	CRITICAL
BL1	EO26	1	0.5	NA	0	0	1	0	0	TRUE	FALSE	AT RISK
BL1	EO29	1	0.667	NA	0	1	0	0	0	FALSE	FALSE	OK
BL2	EO70	74	0.151	0.262	0.743	0.581	0.027	0	0	TRUE	TRUE	CRITICAL
BL2	EO68	3	0	0	1	1	0	0	0	TRUE	TRUE	CRITICAL
