Allele	FunctionalGroup	N_AAAA	CrossPower
Allele_001	FG01	0	none
Allele_002	FG01	2	full
Allele_003	FG01	2	full
Allele_004	FG01	0	none
Allele_005	FG01	0	none
Allele_006	FG01	1	singleton
Allele_007	FG01	0	none
Allele_008	FG01	0	none
Allele_009	FG01	0	none
Allele_010	FG01	0	none
Allele_011	FG01	0	none
Allele_012	FG01	0	none
Allele_013	FG01	4	full
Allele_014	FG01	0	none
Allele_015	FG01	0	none
Allele_016	FG01	5	full
Allele_017	FG01	3	full
Allele_018	FG01	10	full
Allele_019	FG01	0	none
Allele_020	FG01	3	full
Allele_021	FG01	1	singleton
Allele_022	FG01	1	singleton
Allele_023	FG01	0	none
Allele_024	FG01	2	full
Allele_025	FG01	0	none
Allele_026	FG01	2	full
Allele_027	FG01	2	full
Allele_028	FG01	3	full
Allele_029	FG01	0	none
Allele_030	FG01	1	singleton
Allele_031	FG01	0	none
Allele_032	FG01	3	full
Allele_033	FG01	0	none
Allele_034	FG01	2	full
Allele_035	FG01	1	singleton
Allele_036	FG01	0	none
Allele_037	FG01	1	singleton
Allele_038	FG01	1	singleton
Allele_039	FG01	10	full
Allele_040	FG01	5	full
Allele_041	FG01	0	none
Allele_042	FG01	1	singleton
Allele_044	FG01	1	singleton
Allele_045	FG01	1	singleton
Allele_046	FG01	43	full
Allele_047	FG01	0	none
Allele_048	FG01	0	none
Allele_049	FG01	0	none
Allele_051	FG01	0	none
Allele_052	FG01	1	singleton
Allele_053	FG01	0	none
Allele_054	FG01	0	none
Allele_055	FG01	0	none
Allele_043	FG02	30	full
Allele_050	FG03	0	none
