level	group	BL	N	k_species	k_predicted_MM	DI_observed	DI_predicted	geno_mix	prop_AAAA	L_hat_from_AAAA	raw_copy_recovery	k_observed	k_rarefied30_mean	k_rarefied30_sd	shannon_H	evenness_J	chi2_uniform_p	P_compat_uniform_4x	P_compat_L0	P_compat_L0_lo	P_compat_L0_hi	P_compat_L0.10	P_compat_L0.10_lo	P_compat_L0.10_hi	P_compat_L0.25	P_compat_L0.25_lo	P_compat_L0.25_hi	P_compat_L0.50	P_compat_L0.50_lo	P_compat_L0.50_hi
BL	BL1	BL1	5	59	7.0	0.932	0.881	2:1:2:0:0	0.400	0.114	2.20	4	4.00	0.00	1.106	0.798	0.0186	0.000	0.068	0.017	0.101	0.162	0.116	0.191	0.301	0.263	0.326	0.534	0.509	0.551
BL	BL2	BL2	59	59	10.0	0.897	0.831	39:6:12:2:0	0.661	0.189	1.97	8	6.05	1.02	1.371	0.659	2.47e-67	0.000	0.106	0.075	0.134	0.196	0.167	0.221	0.330	0.306	0.351	0.553	0.537	0.567
BL	BL3	BL3	80	59	21.0	0.786	0.644	56:14:9:1:0	0.700	0.200	1.99	17	12.62	1.36	2.348	0.829	6.4e-63	0.529	0.394	0.299	0.430	0.455	0.369	0.487	0.546	0.475	0.572	0.697	0.650	0.715
BL	BL4	BL4	89	59	37.0	0.710	0.373	53:13:15:8:0	0.596	0.170	2.04	27	17.11	2.07	2.550	0.774	4.41e-155	0.704	0.417	0.313	0.469	0.475	0.382	0.522	0.563	0.485	0.602	0.709	0.657	0.734
BL	BL5	BL5	92	59	29.0	0.724	0.508	55:17:16:4:0	0.598	0.171	2.24	23	16.26	1.93	2.622	0.836	1.9e-82	0.652	0.472	0.374	0.515	0.525	0.436	0.563	0.604	0.530	0.636	0.736	0.687	0.757
EO	76	BL3	74	59	17.0	0.808	0.712	54:11:9:0:0	0.730	0.208	1.91	14	11.35	1.08	2.249	0.852	5.12e-45	0.429	0.367	0.277	0.402	0.430	0.349	0.462	0.525	0.458	0.552	0.683	0.638	0.701
EO	70	BL2	56	59	7.0	0.918	0.881	36:6:12:2:0	0.643	0.184	2.02	6	4.87	0.84	1.198	0.669	8.99e-46	0.000	0.082	0.066	0.096	0.174	0.160	0.186	0.311	0.300	0.322	0.541	0.533	0.548
EO	25	BL5	53	59	17.0	0.786	0.712	29:10:13:1:0	0.547	0.156	2.23	14	12.62	1.04	2.347	0.889	8.14e-22	0.429	0.404	0.290	0.446	0.464	0.361	0.502	0.553	0.467	0.585	0.702	0.645	0.723
EO	27	BL4	53	59	31.0	0.707	0.475	31:9:9:4:0	0.585	0.167	1.96	21	17.29	1.48	2.477	0.814	3.97e-62	0.619	0.402	0.269	0.459	0.462	0.342	0.513	0.552	0.451	0.594	0.701	0.634	0.730
EO	67	BL4	36	59	14.0	0.828	0.763	22:4:6:4:0	0.611	0.175	2.17	11	10.13	0.97	1.847	0.770	2.27e-31	0.273	0.225	0.136	0.285	0.303	0.222	0.357	0.419	0.352	0.464	0.613	0.568	0.643
EO	18	BL5	35	59	23.0	0.742	0.610	23:6:3:3:0	0.657	0.188	2.26	16	15.23	0.96	2.301	0.830	4.16e-29	0.500	0.362	0.212	0.426	0.426	0.291	0.483	0.522	0.409	0.569	0.681	0.606	0.713
