level	group	BL	N	N_SI	N_pSI	N_SC	k_species	k_predicted_MM	DI_observed	DI_predicted	k_observed	k_functional	n_null_copies	frac_null	k_rarefied30_mean	k_rarefied30_sd	shannon_H	evenness_J	chi2_uniform_p	P_compat_uniform_4x	P_compat_L0	P_compat_L0_lo	P_compat_L0_hi	P_compat_L0.10	P_compat_L0.10_lo	P_compat_L0.10_hi	P_compat_L0.25	P_compat_L0.25_lo	P_compat_L0.25_hi	P_compat_L0.50	P_compat_L0.50_lo	P_compat_L0.50_hi
BL	BL1	BL1	5	4	1	0	59	7.0	0.915	0.881	5	4	1	0.0500	5.00	0.00	1.263	0.785	0.00907	0.000	0.091	0.022	0.147	0.182	0.120	0.232	0.318	0.267	0.360	0.545	0.511	0.573
BL	BL2	BL2	59	45	3	0	59	10.0	0.885	0.831	9	8	2	0.0085	6.77	1.10	1.412	0.642	1.18e-78	0.111	0.112	0.079	0.139	0.201	0.171	0.225	0.334	0.309	0.354	0.556	0.539	0.570
BL	BL3	BL3	81	40	2	1	59	21.0	0.776	0.644	18	17	6	0.0185	13.21	1.37	2.393	0.828	2.19e-67	0.556	0.406	0.310	0.444	0.465	0.379	0.500	0.554	0.483	0.583	0.703	0.655	0.722
BL	BL4	BL4	89	67	5	0	59	37.0	0.700	0.373	28	27	3	0.0084	17.71	2.13	2.577	0.773	1.03e-160	0.714	0.422	0.324	0.480	0.480	0.391	0.532	0.567	0.493	0.610	0.711	0.662	0.740
BL	BL5	BL5	92	67	3	0	59	29.0	0.715	0.508	24	23	3	0.0082	16.79	1.93	2.654	0.835	2.48e-84	0.667	0.481	0.389	0.524	0.533	0.450	0.572	0.611	0.542	0.643	0.741	0.695	0.762
EO	76	BL3	75	34	2	1	59	17.0	0.797	0.712	15	14	6	0.0200	11.99	1.23	2.297	0.848	1.16e-49	0.467	0.379	0.284	0.420	0.441	0.356	0.478	0.535	0.463	0.565	0.690	0.642	0.710
EO	70	BL2	56	42	3	0	59	7.0	0.904	0.881	7	6	2	0.0089	5.65	0.91	1.241	0.638	2.26e-58	0.000	0.087	0.069	0.102	0.178	0.162	0.191	0.315	0.302	0.326	0.543	0.534	0.551
EO	25	BL5	53	30	2	0	59	17.0	0.777	0.712	15	14	1	0.0047	13.18	1.14	2.365	0.873	8.99e-26	0.467	0.407	0.294	0.450	0.466	0.365	0.505	0.555	0.471	0.587	0.703	0.647	0.725
EO	27	BL4	53	36	4	0	59	31.0	0.691	0.475	22	21	3	0.0142	18.23	1.47	2.515	0.814	2.57e-64	0.636	0.411	0.281	0.468	0.470	0.353	0.522	0.558	0.460	0.601	0.706	0.640	0.734
EO	67	BL4	36	31	1	0	59	14.0	0.828	0.763	11	11	0	0.0000	10.16	0.93	1.847	0.770	2.27e-31	0.273	0.225	0.137	0.281	0.303	0.224	0.353	0.419	0.353	0.461	0.613	0.569	0.640
EO	18	BL5	35	33	1	0	59	23.0	0.727	0.610	17	16	2	0.0143	16.10	0.98	2.358	0.832	8.5e-29	0.529	0.380	0.232	0.431	0.442	0.308	0.488	0.535	0.424	0.573	0.690	0.616	0.716
