EO	allele	n_reps_present_initially	P_lost_by_y10	P_lost_by_y20	P_lost_by_y50	median_loss_year
EO18	Allele_005	20	0.000	0.000	0.000	NA
EO18	Allele_006	20	0.000	0.000	0.000	NA
EO18	Allele_013	20	0.000	0.000	0.000	NA
EO18	Allele_020	20	0.000	0.000	0.000	NA
EO18	Allele_023	20	0.000	0.000	0.000	NA
EO18	Allele_031	20	0.000	0.000	0.000	NA
EO18	Allele_034	20	0.000	0.000	0.000	NA
EO18	Allele_037	20	0.000	0.000	0.000	NA
EO18	Allele_038	20	0.000	0.000	0.000	NA
EO18	Allele_044	20	0.000	0.000	0.000	NA
EO18	Allele_045	20	0.000	0.000	0.000	NA
EO18	Allele_046	20	0.000	0.000	0.000	NA
EO18	Allele_048	20	0.000	0.000	0.000	NA
EO18	Allele_049	20	0.000	0.000	0.000	NA
EO18	Allele_050	20	0.000	0.000	0.000	NA
EO18	Allele_051	20	0.000	0.000	0.000	NA
EO25	Allele_013	20	0.000	0.000	0.000	NA
EO25	Allele_014	20	0.000	0.000	0.000	NA
EO25	Allele_020	20	0.000	0.000	0.000	NA
EO25	Allele_032	20	0.000	0.000	0.000	NA
EO25	Allele_037	20	0.000	0.000	0.000	NA
EO25	Allele_039	20	0.000	0.000	0.000	NA
EO25	Allele_041	20	0.000	0.000	0.000	NA
EO25	Allele_043	20	0.000	0.000	0.000	NA
EO25	Allele_044	20	0.000	0.000	0.000	NA
EO25	Allele_045	20	0.000	0.000	0.000	NA
EO25	Allele_047	20	0.000	0.000	0.000	NA
EO25	Allele_049	20	0.000	0.000	0.000	NA
EO25	Allele_050	20	0.000	0.000	0.000	NA
EO25	Allele_051	20	0.000	0.000	0.000	NA
EO27	Allele_012	20	0.000	0.000	0.000	NA
EO27	Allele_015	20	0.000	0.000	0.000	NA
EO27	Allele_017	20	0.000	0.000	0.000	NA
EO27	Allele_020	20	0.000	0.000	0.000	NA
EO27	Allele_023	20	0.000	0.000	0.000	NA
EO27	Allele_033	20	0.000	0.000	0.000	NA
EO27	Allele_034	20	0.000	0.000	0.000	NA
EO27	Allele_035	20	0.000	0.000	0.000	NA
EO27	Allele_037	20	0.000	0.000	0.000	NA
EO27	Allele_038	20	0.000	0.000	0.000	NA
EO27	Allele_042	20	0.000	0.000	0.000	NA
EO27	Allele_043	20	0.000	0.000	0.000	NA
EO27	Allele_044	20	0.000	0.000	0.000	NA
EO27	Allele_045	20	0.000	0.000	0.000	NA
EO27	Allele_046	20	0.000	0.000	0.000	NA
EO27	Allele_048	20	0.000	0.000	0.000	NA
EO27	Allele_049	20	0.000	0.000	0.000	NA
EO27	Allele_050	20	0.000	0.000	0.000	NA
EO27	Allele_051	20	0.000	0.000	0.000	NA
EO27	Allele_056	20	0.000	0.000	0.000	NA
EO27	Allele_057	20	0.000	0.000	0.000	NA
EO67	Allele_018	20	0.000	0.000	0.000	NA
EO67	Allele_020	20	0.000	0.000	0.000	NA
EO67	Allele_027	20	0.000	0.000	0.000	NA
EO67	Allele_028	20	0.000	0.000	0.000	NA
EO67	Allele_029	20	0.000	0.000	0.000	NA
EO67	Allele_036	20	0.000	0.000	0.000	NA
EO67	Allele_041	20	0.000	0.000	0.000	NA
EO67	Allele_045	20	0.000	0.000	0.000	NA
EO67	Allele_049	20	0.000	0.000	0.000	NA
EO67	Allele_050	20	0.000	0.000	0.000	NA
EO67	Allele_051	20	0.000	0.000	0.000	NA
EO70	Allele_047	20	0.000	0.000	0.000	NA
EO70	Allele_049	20	0.000	0.000	0.000	NA
EO70	Allele_050	20	0.000	0.000	0.000	NA
EO70	Allele_051	20	0.000	0.000	0.000	NA
EO70	Allele_053	20	0.050	0.050	0.050	1.0
EO70	Allele_055	20	0.000	0.000	0.000	NA
EO76	Allele_014	20	0.000	0.000	0.000	NA
EO76	Allele_017	20	0.000	0.000	0.000	NA
EO76	Allele_020	20	0.000	0.000	0.000	NA
EO76	Allele_022	20	0.000	0.000	0.000	NA
EO76	Allele_024	20	0.000	0.000	0.000	NA
EO76	Allele_025	20	0.000	0.000	0.000	NA
EO76	Allele_026	20	0.000	0.000	0.000	NA
EO76	Allele_034	20	0.000	0.000	0.000	NA
EO76	Allele_040	20	0.000	0.000	0.000	NA
EO76	Allele_042	20	0.000	0.000	0.000	NA
EO76	Allele_045	20	0.000	0.000	0.000	NA
EO76	Allele_050	20	0.000	0.000	0.000	NA
EO76	Allele_051	20	0.000	0.000	0.000	NA
EO76	Allele_052	20	0.000	0.000	0.000	NA
