EO	scenario	checkpoint_year	P_collapsed	N_adult_p10	k_alleles_p10	P_compat_p10	L_p10	N_adult_p50	k_alleles_p50	P_compat_p50	L_p50	N_adult_p90	k_alleles_p90	P_compat_p90	L_p90	delta_P_collapsed_vs_baseline
EO18	baseline	10	0.000	764	16.0	0.297	0.002	1260	16.0	0.345	0.004	2200	16.0	0.390	0.008	+0.000
EO18	baseline	20	0.000	757	16.0	0.289	0.001	1274	16.0	0.341	0.003	2094	16.0	0.392	0.007	+0.000
EO18	baseline	50	0.000	802	16.0	0.283	0.001	1260	16.0	0.341	0.002	2176	16.0	0.396	0.006	+0.000
EO18	area_capped	10	0.000	858	16.0	0.295	0.002	1239	16.0	0.344	0.004	1758	16.0	0.387	0.008	+0.000
EO18	area_capped	20	0.000	841	16.0	0.295	0.001	1199	16.0	0.339	0.003	1802	16.0	0.392	0.006	+0.000
EO18	area_capped	50	0.000	830	16.0	0.284	0.001	1222	16.0	0.341	0.002	1707	16.0	0.393	0.006	+0.000
EO18	catastrophe	10	0.000	753	16.0	0.297	0.002	1243	16.0	0.345	0.004	2154	16.0	0.394	0.008	+0.000
EO18	catastrophe	20	0.000	762	16.0	0.292	0.001	1284	16.0	0.343	0.003	2154	16.0	0.397	0.007	+0.000
EO18	catastrophe	50	0.000	791	16.0	0.286	0.001	1284	16.0	0.339	0.002	2084	16.0	0.398	0.006	+0.000
EO18	K_decline_1pct	10	0.000	686	16.0	0.300	0.002	1132	16.0	0.344	0.004	1936	16.0	0.388	0.009	+0.000
EO18	K_decline_1pct	20	0.000	645	16.0	0.293	0.001	1042	16.0	0.342	0.003	1770	16.0	0.392	0.007	+0.000
EO18	K_decline_1pct	50	0.000	457	16.0	0.290	0.001	732	16.0	0.342	0.003	1338	16.0	0.391	0.006	+0.000
EO18	si_proper	10	0.000	764	16.0	0.526	0.000	1213	16.0	0.546	0.001	2144	16.0	0.561	0.001	+0.000
