EO	allele	n_reps_present_initially	P_lost_by_y10	P_lost_by_y20	P_lost_by_y50	median_loss_year
EO18	Allele_005	1000	0.000	0.000	0.000	NA
EO18	Allele_006	1000	0.000	0.000	0.000	NA
EO18	Allele_013	1000	0.000	0.000	0.000	NA
EO18	Allele_020	1000	0.000	0.000	0.000	NA
EO18	Allele_023	1000	0.000	0.000	0.000	NA
EO18	Allele_031	1000	0.000	0.000	0.000	NA
EO18	Allele_034	1000	0.000	0.000	0.000	NA
EO18	Allele_037	1000	0.000	0.000	0.000	NA
EO18	Allele_038	1000	0.000	0.000	0.000	NA
EO18	Allele_044	1000	0.000	0.000	0.000	NA
EO18	Allele_045	1000	0.000	0.000	0.000	NA
EO18	Allele_046	1000	0.000	0.000	0.000	NA
EO18	Allele_048	1000	0.000	0.000	0.000	NA
EO18	Allele_049	1000	0.000	0.000	0.000	NA
EO18	Allele_050	1000	0.000	0.000	0.000	NA
EO18	Allele_051	1000	0.000	0.000	0.000	NA
EO25	Allele_013	1000	0.000	0.000	0.000	NA
EO25	Allele_014	1000	0.002	0.002	0.002	7.5
EO25	Allele_020	1000	0.000	0.000	0.000	NA
EO25	Allele_032	1000	0.000	0.000	0.000	NA
EO25	Allele_037	1000	0.000	0.000	0.000	NA
EO25	Allele_039	1000	0.000	0.000	0.000	NA
EO25	Allele_041	1000	0.000	0.000	0.000	NA
EO25	Allele_043	1000	0.000	0.000	0.000	NA
EO25	Allele_044	1000	0.000	0.000	0.000	NA
EO25	Allele_045	1000	0.000	0.000	0.000	NA
EO25	Allele_047	1000	0.000	0.000	0.000	NA
EO25	Allele_049	1000	0.000	0.000	0.000	NA
EO25	Allele_050	1000	0.000	0.000	0.000	NA
EO25	Allele_051	1000	0.000	0.000	0.000	NA
EO27	Allele_012	1000	0.000	0.000	0.000	NA
EO27	Allele_015	1000	0.000	0.000	0.000	NA
EO27	Allele_017	1000	0.000	0.000	0.000	NA
EO27	Allele_020	1000	0.000	0.000	0.000	NA
EO27	Allele_023	1000	0.000	0.000	0.000	NA
EO27	Allele_033	1000	0.000	0.000	0.000	NA
EO27	Allele_034	1000	0.000	0.000	0.000	NA
EO27	Allele_035	1000	0.000	0.000	0.000	NA
EO27	Allele_037	1000	0.000	0.000	0.000	NA
EO27	Allele_038	1000	0.000	0.000	0.000	NA
EO27	Allele_042	1000	0.000	0.000	0.000	NA
EO27	Allele_043	1000	0.000	0.000	0.000	NA
EO27	Allele_044	1000	0.000	0.000	0.000	NA
EO27	Allele_045	1000	0.000	0.000	0.000	NA
EO27	Allele_046	1000	0.003	0.003	0.006	14.0
EO27	Allele_048	1000	0.000	0.000	0.001	24.0
EO27	Allele_049	1000	0.000	0.000	0.000	NA
EO27	Allele_050	1000	0.000	0.000	0.000	NA
EO27	Allele_051	1000	0.000	0.000	0.000	NA
EO27	Allele_056	1000	0.001	0.001	0.006	22.5
EO27	Allele_057	1000	0.002	0.002	0.004	11.0
EO67	Allele_018	1000	0.002	0.002	0.003	9.0
EO67	Allele_020	1000	0.000	0.000	0.000	NA
EO67	Allele_027	1000	0.000	0.000	0.000	NA
EO67	Allele_028	1000	0.000	0.000	0.000	NA
EO67	Allele_029	1000	0.001	0.001	0.001	7.0
EO67	Allele_036	1000	0.000	0.000	0.000	NA
EO67	Allele_041	1000	0.000	0.000	0.000	NA
EO67	Allele_045	1000	0.000	0.000	0.000	NA
EO67	Allele_049	1000	0.000	0.000	0.000	NA
EO67	Allele_050	1000	0.000	0.000	0.000	NA
EO67	Allele_051	1000	0.000	0.000	0.000	NA
EO70	Allele_047	1000	0.002	0.002	0.002	1.0
EO70	Allele_049	1000	0.000	0.000	0.000	NA
EO70	Allele_050	1000	0.000	0.000	0.000	NA
EO70	Allele_051	1000	0.000	0.000	0.000	NA
EO70	Allele_053	999	0.003	0.003	0.003	1.0
EO70	Allele_055	1000	0.003	0.004	0.004	1.0
EO76	Allele_014	1000	0.000	0.000	0.000	NA
EO76	Allele_017	1000	0.000	0.000	0.000	NA
EO76	Allele_020	1000	0.000	0.000	0.000	NA
EO76	Allele_022	1000	0.000	0.000	0.000	NA
EO76	Allele_024	1000	0.000	0.000	0.000	NA
EO76	Allele_025	1000	0.008	0.009	0.009	1.0
EO76	Allele_026	1000	0.000	0.000	0.000	NA
EO76	Allele_034	1000	0.003	0.003	0.003	1.0
EO76	Allele_040	1000	0.000	0.000	0.000	NA
EO76	Allele_042	1000	0.000	0.000	0.000	NA
EO76	Allele_045	1000	0.000	0.000	0.000	NA
EO76	Allele_050	1000	0.000	0.000	0.000	NA
EO76	Allele_051	1000	0.000	0.000	0.000	NA
EO76	Allele_052	1000	0.047	0.049	0.050	6.0
