EO	checkpoint_year	P_collapsed	P_N_lt50	P_N_lt10	P_minN_lt10_to_date	P_adults_extinct_ever	P_no_ND_mothers	P_no_PD_mothers	P_no_PH_mothers	N_adult_p10	k_alleles_p10	P_compat_p10	L_p10	N_adult_p50	k_alleles_p50	P_compat_p50	L_p50	N_adult_p90	k_alleles_p90	P_compat_p90	L_p90	min_N_to_date_p10	min_N_to_date_p50	n_ND_mothers_p50	n_PD_mothers_p50	n_PH_mothers_p50
EO18	10	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.076	387	16.0	0.518	0.000	1360	16.0	0.541	0.000	4817	16.0	0.561	0.001	126	287	1304	35	6
EO18	20	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.083	385	16.0	0.550	0.000	1252	16.0	0.569	0.000	4634	16.0	0.585	0.000	97	206	1169	44	6
EO18	50	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	361	16.0	0.566	0.000	1290	16.0	0.583	0.000	4305	16.0	0.590	0.000	72	140	1068	104	6
EO25	10	0.000	0.002	0.000	0.000	0.000	0.000	0.022	0.160	263	14.0	0.501	0.000	959	14.0	0.520	0.000	3198	14.0	0.535	0.001	98	219	942	13	3
EO25	20	0.000	0.001	0.000	0.000	0.000	0.000	0.015	0.136	292	14.0	0.522	0.000	1028	14.0	0.541	0.000	3560	14.0	0.548	0.000	77	154	996	22	4
EO25	50	0.000	0.001	0.000	0.000	0.000	0.000	0.005	0.136	290	14.0	0.525	0.000	969	14.0	0.546	0.000	3485	14.0	0.550	0.000	56	109	871	57	4
EO27	10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	822	21.0	0.569	0.000	2740	21.0	0.590	0.001	10083	21.0	0.609	0.001	309	632	2469	272	10
EO27	20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.046	846	21.0	0.599	0.000	2712	21.0	0.620	0.000	10465	21.0	0.637	0.000	228	496	2269	348	10
EO27	50	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	792	21.0	0.622	0.000	2677	21.0	0.640	0.000	10275	21.0	0.657	0.000	162	342	1833	640	10
EO67	10	0.004	0.538	0.045	0.362	0.004	0.002	0.441	0.765	14	11.0	0.296	0.000	46	11.0	0.366	0.000	165	11.0	0.415	0.000	5	12	44	1	0
EO67	20	0.006	0.519	0.035	0.534	0.005	0.003	0.470	0.756	15	11.0	0.327	0.000	47	11.0	0.386	0.000	156	11.0	0.427	0.000	4	9	46	1	0
EO67	50	0.006	0.531	0.047	0.788	0.006	0.005	0.431	0.856	14	11.0	0.335	0.000	46	11.0	0.387	0.000	163	11.0	0.430	0.000	3	6	43	1	0
EO70	10	0.031	0.396	0.000	0.007	0.000	0.000	0.002	0.031	27	6.0	0.066	0.033	58	6.0	0.092	0.087	109	6.0	0.155	0.147	18	29	42	10	5
EO70	20	0.073	0.342	0.001	0.036	0.000	0.000	0.004	0.035	30	6.0	0.066	0.006	60	6.0	0.123	0.044	110	6.0	0.226	0.142	14	23	46	8	4
EO70	50	0.147	0.370	0.001	0.093	0.000	0.000	0.079	0.077	31	6.0	0.072	0.000	59	6.0	0.181	0.009	117	6.0	0.242	0.116	10	18	50	4	3
EO76	10	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.290	541	14.0	0.471	0.000	1086	14.0	0.495	0.000	2141	14.0	0.515	0.000	313	482	1086	0	1
EO76	20	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.348	551	14.0	0.495	0.000	1047	14.0	0.522	0.000	1977	14.0	0.543	0.000	272	402	1046	0	1
EO76	50	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.422	533	14.0	0.496	0.000	1065	14.0	0.524	0.000	2115	14.0	0.548	0.000	230	332	1065	0	1
