EO	checkpoint_year	P_collapsed	P_N_lt50	P_N_lt10	P_minN_lt10_to_date	P_adults_extinct_ever	P_no_ND_mothers	P_no_PD_mothers	P_no_PH_mothers	N_adult_p10	k_alleles_p10	P_compat_p10	L_p10	N_adult_p50	k_alleles_p50	P_compat_p50	L_p50	N_adult_p90	k_alleles_p90	P_compat_p90	L_p90	min_N_to_date_p10	min_N_to_date_p50	n_ND_mothers_p50	n_PD_mothers_p50	n_PH_mothers_p50
EO18	10	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.092	367	16.0	0.518	0.000	1223	16.0	0.541	0.000	4085	16.0	0.561	0.001	123	276	1179	31	5
EO18	20	0.000	0.001	0.000	0.000	0.000	0.000	0.003	0.076	341	16.0	0.550	0.000	1245	16.0	0.569	0.000	4271	16.0	0.584	0.001	92	201	1189	41	5
EO18	50	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.094	307	16.0	0.565	0.000	1180	16.0	0.584	0.000	4411	16.0	0.591	0.000	67	136	1013	98	6
EO25	10	0.000	0.002	0.000	0.000	0.000	0.000	0.014	0.132	276	14.0	0.503	0.000	1001	14.0	0.522	0.000	3645	14.0	0.536	0.001	97	219	971	16	4
EO25	20	0.000	0.001	0.000	0.000	0.000	0.000	0.009	0.140	291	14.0	0.522	0.000	958	14.0	0.541	0.000	3652	14.0	0.548	0.000	77	164	918	20	4
EO25	50	0.000	0.001	0.000	0.000	0.000	0.000	0.003	0.127	263	14.0	0.526	0.000	993	14.0	0.546	0.000	3402	14.0	0.550	0.000	58	110	907	52	4
EO27	10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.030	859	21.0	0.567	0.000	2789	21.0	0.589	0.001	9537	21.0	0.609	0.001	294	624	2448	293	11
EO27	20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	903	21.0	0.599	0.000	2796	21.0	0.620	0.000	8966	21.0	0.638	0.000	227	472	2273	362	10
EO27	50	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.043	824	21.0	0.622	0.000	2633	21.0	0.641	0.000	9671	21.0	0.657	0.000	179	334	1839	631	10
EO67	10	0.006	0.514	0.052	0.391	0.005	0.002	0.477	0.734	13	11.0	0.297	0.000	48	11.0	0.365	0.000	163	11.0	0.416	0.001	5	11	46	1	0
EO67	20	0.006	0.526	0.044	0.574	0.009	0.004	0.483	0.744	13	11.0	0.320	0.000	46	11.0	0.385	0.000	163	11.0	0.429	0.000	4	9	44	1	0
EO67	50	0.006	0.542	0.047	0.784	0.010	0.003	0.497	0.871	13	11.0	0.331	0.000	44	11.0	0.387	0.000	148	11.0	0.431	0.000	3	6	42	1	0
EO70	10	0.025	0.373	0.003	0.007	0.000	0.000	0.001	0.030	27	6.0	0.066	0.030	60	6.0	0.094	0.088	110	6.0	0.153	0.150	18	28	44	9	5
EO70	20	0.086	0.360	0.002	0.026	0.000	0.001	0.012	0.042	28	6.0	0.066	0.006	61	6.0	0.124	0.045	114	6.0	0.219	0.143	14	23	46	8	4
EO70	50	0.160	0.383	0.001	0.079	0.000	0.000	0.093	0.103	29	6.0	0.071	0.000	57	6.0	0.181	0.009	111	6.0	0.242	0.124	10	18	50	4	3
EO76	10	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.301	554	14.0	0.470	0.000	1076	14.0	0.495	0.000	2041	14.0	0.517	0.000	308	470	1075	0	1
EO76	20	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.371	545	14.0	0.496	0.000	1070	14.0	0.522	0.000	2077	14.0	0.544	0.000	275	404	1068	0	1
EO76	50	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.435	556	14.0	0.498	0.000	1065	14.0	0.525	0.000	2228	14.0	0.548	0.000	231	332	1064	0	1
