EO	checkpoint_year	P_collapsed	P_N_lt50	P_N_lt10	P_minN_lt10_to_date	P_adults_extinct_ever	P_no_ND_mothers	P_no_PD_mothers	P_no_PH_mothers	N_adult_p10	k_alleles_p10	P_compat_p10	L_p10	N_adult_p50	k_alleles_p50	P_compat_p50	L_p50	N_adult_p90	k_alleles_p90	P_compat_p90	L_p90	min_N_to_date_p10	min_N_to_date_p50	n_ND_mothers_p50	n_PD_mothers_p50	n_PH_mothers_p50
EO18	10	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.086	386	16.0	0.519	0.000	1229	16.0	0.541	0.000	4034	16.0	0.561	0.001	122	273	1184	33	6
EO18	20	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.090	362	16.0	0.552	0.000	1294	16.0	0.569	0.000	4491	16.0	0.583	0.001	90	198	1234	44	6
EO18	50	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.069	380	16.0	0.565	0.000	1312	16.0	0.584	0.000	4282	16.0	0.591	0.000	70	135	1120	114	6
EO25	10	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.143	279	14.0	0.501	0.000	996	14.0	0.522	0.000	3360	14.0	0.536	0.001	99	218	976	14	3
EO25	20	0.000	0.003	0.000	0.000	0.000	0.000	0.014	0.122	279	14.0	0.522	0.000	1096	14.0	0.541	0.000	3641	14.0	0.548	0.000	74	160	1070	21	4
EO25	50	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.128	294	14.0	0.529	0.000	1094	14.0	0.546	0.000	3659	14.0	0.550	0.000	54	107	982	60	4
EO27	10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.039	867	21.0	0.569	0.000	2728	21.0	0.590	0.001	9443	21.0	0.610	0.002	288	625	2374	290	10
EO27	20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.044	841	21.0	0.601	0.000	2732	21.0	0.620	0.000	10306	21.0	0.638	0.000	235	478	2241	346	10
EO27	50	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	790	21.0	0.622	0.000	2714	21.0	0.641	0.000	9381	21.0	0.657	0.000	180	334	1938	608	10
EO67	10	0.004	0.535	0.044	0.376	0.003	0.000	0.475	0.757	14	11.0	0.297	0.000	45	11.0	0.366	0.000	147	11.0	0.413	0.000	5	11	44	1	0
EO67	20	0.004	0.522	0.038	0.581	0.005	0.000	0.451	0.753	15	11.0	0.331	0.000	46	11.0	0.385	0.000	159	11.0	0.428	0.000	4	9	44	1	0
EO67	50	0.005	0.512	0.044	0.829	0.009	0.002	0.440	0.858	15	11.0	0.339	0.000	48	11.0	0.388	0.000	151	11.0	0.430	0.000	3	7	45	1	0
EO70	10	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.035	257	6.0	0.073	0.006	524	6.0	0.121	0.060	1032	6.0	0.217	0.146	137	221	498	15	5
EO70	20	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.055	282	6.0	0.074	0.000	517	6.0	0.183	0.009	978	6.0	0.244	0.136	121	190	507	12	4
EO70	50	0.006	0.000	0.000	0.000	0.000	0.000	0.043	0.089	272	6.0	0.113	0.000	534	6.0	0.186	0.001	1045	6.0	0.244	0.104	105	163	524	6	3
EO76	10	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.320	527	14.0	0.472	0.000	1015	14.0	0.494	0.000	2068	14.0	0.516	0.000	318	486	1014	0	1
EO76	20	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.365	545	14.0	0.495	0.000	1054	14.0	0.521	0.000	2064	14.0	0.544	0.000	280	413	1052	0	1
EO76	50	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.426	547	14.0	0.497	0.000	1027	14.0	0.524	0.000	1980	14.0	0.548	0.000	243	338	1026	0	1
