Sample_ID	Library	Barcode	EO	EO_normalised	BL_inferred	Ingroup	n_raw_haps	n_after_step4	n_after_step4b	n_after_step7b	Step9_classification	Proteins_in_final_data	SI_functional_status	Dominant_failure_mode	BL_status	Final_status	Exclusion_stage	Exclusion_reason	Outcome_category
Library001_barcode01	1	1	27rt	EO27rt	Unassigned	1	28	28			too_many_alleles	0.0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(12))	Re_DNA_extraction
Library001_barcode02	1	2	67	EO67	BL4	1	40	32			normal	16.0	Functional	premature_stop	Assigned	Included			Functional
Library001_barcode03	1	3	96-16	EO96	Unassigned	1	24	8			normal	4.0	Functional	mixed	Unassigned	Included			Functional
Library001_barcode04	1	4	702-3	EO702	Unassigned	1	36	16			normal	3.0	Functional	premature_stop	Unassigned	Included			Functional
Library001_barcode05	1	5	712-5	EO712	Unassigned	1	24	24			normal	15.0	Functional	ambiguous_aa	Unassigned	Included			Functional
Library001_barcode06	1	6	38	EO38	BL3	1	12	12			normal	12.0	Functional		Assigned	Included			Functional
Library001_barcode07	1	7	61	EO61	BL1	1	32	32			low_functional_rate	8.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library001_barcode08	1	8	70	EO70	BL2	1	24	20			normal	11.0	Functional	ambiguous_aa	Assigned	Included			Functional
Library001_barcode09	1	9	76	EO76	BL3	1	32	28			low_functional_rate	13.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library001_barcode10	1	10	25	EO25	BL5	1	28	24			normal	9.0	Functional	mixed	Assigned	Included			Functional
Library001_barcode11	1	11	709	EO709	Unassigned	1	36	28			normal	10.0	Functional	premature_stop	Unassigned	Included			Functional
Library001_barcode12	1	12	15	EO15	Unassigned	1	32	28			low_functional_rate	8.0	Partial_translation_failure	premature_stop	Inferred	Included			Partial_translation_failure
Library001_barcode13	1	13	18	EO18	BL5	1	24	16			dropped_abundance_filter	0.0	Partial_translation_failure	premature_stop		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: premature_stop(11);ambiguous_aa(4))	Re_PCR
Library001_barcode14	1	14	118	EO118	BL3	1	64	32			low_functional_rate	12.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library001_barcode15	1	15			Unassigned	0	36	32			low_functional_rate	4.0	Partial_translation_failure	premature_stop		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)	Outgroup
Library001_barcode16	1	16	27	EO27	BL4	1	32	20			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Assigned	Included			Partial_translation_failure
Library001_barcode17	1	17	76	EO76	BL3	1	68	44			low_functional_rate	12.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library001_barcode18	1	18	26-3	EO26	BL1	1	68	48			low_functional_rate	18.0	Partial_translation_failure	premature_stop	Inferred	Included			Partial_translation_failure
Library001_barcode19	1	19	27pv	EO27pv	Unassigned	1	24	12			normal	8.0	Functional	premature_stop	Assigned	Included			Functional
Library001_barcode20	1	20	18	EO18	BL5	1	16	8			normal	6.0	Functional	premature_stop	Assigned	Included			Functional
Library001_barcode21	1	21	8	EO8	Unassigned	1	32	32			low_functional_rate	5.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library001_barcode22	1	22	29	EO29	BL1	1	32	28			dropped_abundance_filter	0.0	Partial_translation_failure	premature_stop		Excluded	Step 9 — dropped_abundance_filter	functional proteins present but below min_count = 5 abundance filter (Top failures: premature_stop(26);ambiguous_aa(4))	Re_PCR
Library002_barcode23	2	23	96-16	EO96	Unassigned	1	32	32			normal	17.0	Functional	premature_stop	Unassigned	Included			Functional
Library002_barcode24	2	24	montanum	EOmontanum	Unassigned	0	28	24			normal	12.0	Functional	mixed		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)	Outgroup
Library002_barcode25	2	25	montanum	EOmontanum	Unassigned	0	4	4			no_functional_proteins	0.0	Complete_loss	ambiguous_aa		Excluded	Step 9 — no_functional_proteins	all sequences carry X residues from N-rich data — quality issue, NOT a biological SI escape; re-sequencing may help (would have been caught by Step 7b if applied) (Top failures: ambiguous_aa(4);premature_stop(1))	Outgroup
Library002_barcode26	2	26	freemontii	EOfreemontii	Unassigned	0	20	16			normal	4.0	Functional	premature_stop		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)	Outgroup
Library002_barcode27	2	27	freemontii	EOfreemontii	Unassigned	0	28	24			low_functional_rate	4.0	Partial_translation_failure	mixed		Excluded	Step 11 — outgroup filter	Ingroup = 0 in metadata; intentionally excluded from SI analyses (NOT a quality issue)	Outgroup
Library002_barcode28	2	28	27rt	EO27rt	Unassigned	1	36	24			low_functional_rate	8.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library002_barcode29	2	29	405	EO405	Unassigned	1	32	24			low_functional_rate	6.0	Partial_translation_failure	mixed	Unassigned	Included			Partial_translation_failure
Library002_barcode30	2	30	98-2	EO98	Unassigned	1	8	0								Excluded	Step 4 — length filter	8 raw haps, 0 passed 3250–4000 bp length filter — likely fragmented or chimeric assembly; re-sequencing recommended	Re_PCR
Library002_barcode31	2	31	25	EO25	BL5	1	36	28			normal	15.0	Functional	premature_stop	Assigned	Included			Functional
Library002_barcode32	2	32	48	EO48	BL5	1	28	24			normal	10.0	Functional	mixed	Assigned	Included			Functional
Library002_barcode33	2	33	97-6	EO97	Unassigned	1	4	4			no_functional_proteins	0.0	Complete_loss	premature_stop		Excluded	Step 9 — no_functional_proteins	all sequences carry premature stop codons — strong candidate for ongoing SI breakdown / self-compatibility escape; recommend controlled selfing test to phenotype (Top failures: premature_stop(4))	SI_escape_candidate
Library002_barcode34	2	34	84-2	EO84	Unassigned	1	28	28			low_functional_rate	9.0	Partial_translation_failure	mixed	Unassigned	Included			Partial_translation_failure
Library002_barcode35	2	35	52	EO52	BL3	1	52	36			low_functional_rate	13.0	Partial_translation_failure	mixed	Assigned	Included			Partial_translation_failure
Library002_barcode36	2	36	704	EO704	Unassigned	1	16	16			low_functional_rate	4.0	Partial_translation_failure	premature_stop	Unassigned	Included			Partial_translation_failure
Library002_barcode37	2	37	18	EO18	BL5	1	20	20			normal	8.0	Functional	mixed	Assigned	Included			Functional
Library002_barcode38	2	38	15	EO15	Unassigned	1	40	24			normal	9.0	Functional	mixed	Inferred	Included			Functional
Library002_barcode39	2	39	70	EO70	BL2	1	32	28			normal	27.0	Functional	premature_stop	Assigned	Included			Functional
Library002_barcode40	2	40	8	EO8	Unassigned	1	36	36			too_many_alleles	0.0	Functional	premature_stop		Excluded	Step 9 — too_many_alleles	>4 distinct proteins per individual — likely contamination / assembly artefact (Top failures: premature_stop(10))	Re_DNA_extraction
