Sample_ID	EO_normalised	BL_inferred	n_haps_OK	n_haps_REMOVED	n_haps_total	frac_nonfunctional	copies_functional	copies_nonfunctional	SI_status	pSI_confidence
Library001_barcode21	EO08	BL1	16	16	32	0.5	2	2	pSI	high
Library002_barcode40	EO08	BL1	26	10	36	0.2778	3	1	pSI	high
Library002_barcode47	EO08	BL1	19	9	28	0.3214	3	1	pSI	high
Library001_barcode18	EO26	BL1	18	30	48	0.625	2	2	pSI	high
Library001_barcode22	EO29	BL1	2	26	28	0.9286	0	4	SC	
Library002_barcode42	EO29	BL1	16	4	20	0.2	3	1	pSI	low
Library002_barcode49	EO29	BL1	2	14	16	0.875	0	4	SC	
Library001_barcode07	EO61	BL1	14	18	32	0.5625	2	2	pSI	high
Library002_barcode46	EO68	BL2	11	9	20	0.45	2	2	pSI	high
Library002_barcode57	EO68	BL2	17	11	28	0.3929	2	2	pSI	high
Library002_barcode58	EO68	BL2	4	8	12	0.6667	1	3	pSI	high
Library001_barcode08	EO70	BL2	19	1	20	0.05	4	0	SI	
Library002_barcode39	EO70	BL2	27	1	28	0.0357	4	0	SI	
Library008_barcode01	EO70	BL2	24	12	36	0.3333	3	1	pSI	high
Library008_barcode02	EO70	BL2	30	2	32	0.0625	4	0	SI	
Library008_barcode03	EO70	BL2	16	20	36	0.5556	2	2	pSI	high
Library008_barcode04	EO70	BL2	8	4	12	0.3333	3	1	pSI	high
Library008_barcode05	EO70	BL2	11	1	12	0.0833	4	0	SI	
Library008_barcode06	EO70	BL2	6	18	24	0.75	1	3	pSI	high
Library008_barcode07	EO70	BL2	15	13	28	0.4643	2	2	pSI	high
Library008_barcode08	EO70	BL2	21	7	28	0.25	3	1	pSI	high
Library008_barcode09	EO70	BL2	16	4	20	0.2	3	1	pSI	low
Library008_barcode10	EO70	BL2	17	15	32	0.4688	2	2	pSI	high
Library008_barcode11	EO70	BL2	3	5	8	0.625	2	2	pSI	high
Library008_barcode12	EO70	BL2	16	8	24	0.3333	3	1	pSI	high
Library008_barcode13	EO70	BL2	16	20	36	0.5556	2	2	pSI	high
Library008_barcode14	EO70	BL2	2	2	4	0.5	2	2	pSI	high
Library008_barcode15	EO70	BL2	15	5	20	0.25	3	1	pSI	high
Library008_barcode16	EO70	BL2	4	4	8	0.5	2	2	pSI	high
Library008_barcode17	EO70	BL2	4	4	8	0.5	2	2	pSI	high
Library008_barcode18	EO70	BL2	7	13	20	0.65	1	3	pSI	high
Library008_barcode19	EO70	BL2	12	24	36	0.6667	1	3	pSI	high
Library008_barcode20	EO70	BL2	10	10	20	0.5	2	2	pSI	high
Library008_barcode21	EO70	BL2	8	8	16	0.5	2	2	pSI	high
Library008_barcode22	EO70	BL2	18	10	28	0.3571	3	1	pSI	high
Library008_barcode23	EO70	BL2	13	15	28	0.5357	2	2	pSI	high
Library008_barcode24	EO70	BL2	15	9	24	0.375	2	2	pSI	high
Library008_barcode25	EO70	BL2	32	4	36	0.1111	4	0	SI	
Library008_barcode26	EO70	BL2	7	13	20	0.65	1	3	pSI	high
Library008_barcode27	EO70	BL2	11	17	28	0.6071	2	2	pSI	high
Library008_barcode28	EO70	BL2	11	5	16	0.3125	3	1	pSI	high
Library008_barcode29	EO70	BL2	4	0	4	0.0	4	0	SI	
Library008_barcode30	EO70	BL2	4	4	8	0.5	2	2	pSI	high
Library008_barcode31	EO70	BL2	15	5	20	0.25	3	1	pSI	high
Library008_barcode32	EO70	BL2	7	21	28	0.75	1	3	pSI	high
Library008_barcode33	EO70	BL2	7	9	16	0.5625	2	2	pSI	high
Library008_barcode34	EO70	BL2	14	14	28	0.5	2	2	pSI	high
Library008_barcode35	EO70	BL2	19	1	20	0.05	4	0	SI	
Library008_barcode36	EO70	BL2	21	7	28	0.25	3	1	pSI	high
Library008_barcode89	EO70	BL2	11	13	24	0.5417	2	2	pSI	high
Library008_barcode90	EO70	BL2	10	10	20	0.5	2	2	pSI	high
Library008_barcode91	EO70	BL2	4	4	8	0.5	2	2	pSI	high
Library009_barcode75	EO70	BL2	0	0	0				Insufficient_data	
Library009_barcode76	EO70	BL2	0	0	0				Insufficient_data	
Library009_barcode77	EO70	BL2	0	0	0				Insufficient_data	
Library009_barcode78	EO70	BL2	0	0	0				Insufficient_data	
Library009_barcode90	EO70	BL2	0	0	0				Insufficient_data	
Library009_barcode91	EO70	BL2	0	0	0				Insufficient_data	
Library009_barcode92	EO70	BL2	0	0	0				Insufficient_data	
Library009_barcode93	EO70	BL2	0	0	0				Insufficient_data	
Library010_barcode57	EO70	BL2	16	8	24	0.3333	3	1	pSI	high
Library010_barcode58	EO70	BL2	0	0	0				Insufficient_data	
