scenario	BL	replicate	time_to_sc
baseline	BL1	0	3
baseline	BL1	1	10
baseline	BL1	2	8
baseline	BL1	3	3
baseline	BL1	4	6
baseline	BL1	5	1
baseline	BL1	6	7
baseline	BL1	7	4
baseline	BL1	8	5
baseline	BL1	9	4
baseline	BL1	10	3
baseline	BL1	11	3
baseline	BL1	12	3
baseline	BL1	13	4
baseline	BL1	14	4
baseline	BL1	15	2
baseline	BL1	16	5
baseline	BL1	17	2
baseline	BL1	18	8
baseline	BL1	19	1
baseline	BL1	20	4
baseline	BL1	21	9
baseline	BL1	22	2
baseline	BL1	23	6
baseline	BL1	24	1
baseline	BL1	25	4
baseline	BL1	26	2
baseline	BL1	27	4
baseline	BL1	28	8
baseline	BL1	29	3
baseline	BL2	0	9
baseline	BL2	1	6
baseline	BL2	2	13
baseline	BL2	3	12
baseline	BL2	4	8
baseline	BL2	5	7
baseline	BL2	6	15
baseline	BL2	7	15
baseline	BL2	8	9
baseline	BL2	9	10
baseline	BL2	10	11
baseline	BL2	11	13
baseline	BL2	12	6
baseline	BL2	13	10
baseline	BL2	14	7
baseline	BL2	15	9
baseline	BL2	16	9
baseline	BL2	17	14
baseline	BL2	18	12
baseline	BL2	19	6
baseline	BL2	20	8
baseline	BL2	21	8
baseline	BL2	22	8
baseline	BL2	23	10
baseline	BL2	24	11
baseline	BL2	25	10
baseline	BL2	26	11
baseline	BL2	27	7
baseline	BL2	28	9
baseline	BL2	29	9
baseline	BL3	0	23
baseline	BL3	1	21
baseline	BL3	2	22
baseline	BL3	3	14
baseline	BL3	4	16
baseline	BL3	5	14
baseline	BL3	6	26
baseline	BL3	7	21
baseline	BL3	8	16
baseline	BL3	9	19
baseline	BL3	10	20
baseline	BL3	11	16
baseline	BL3	12	22
baseline	BL3	13	20
baseline	BL3	14	21
baseline	BL3	15	15
baseline	BL3	16	33
baseline	BL3	17	23
baseline	BL3	18	13
baseline	BL3	19	19
baseline	BL3	20	19
baseline	BL3	21	20
baseline	BL3	22	20
baseline	BL3	23	14
baseline	BL3	24	15
baseline	BL3	25	26
baseline	BL3	26	24
baseline	BL3	27	21
baseline	BL3	28	12
baseline	BL3	29	19
baseline	BL4	0	26
baseline	BL4	1	26
baseline	BL4	2	17
baseline	BL4	3	31
baseline	BL4	4	20
baseline	BL4	5	20
baseline	BL4	6	21
baseline	BL4	7	23
baseline	BL4	8	12
baseline	BL4	9	19
baseline	BL4	10	18
baseline	BL4	11	29
baseline	BL4	12	22
baseline	BL4	13	16
baseline	BL4	14	22
baseline	BL4	15	28
baseline	BL4	16	20
baseline	BL4	17	36
baseline	BL4	18	22
baseline	BL4	19	15
baseline	BL4	20	21
baseline	BL4	21	23
baseline	BL4	22	24
baseline	BL4	23	25
baseline	BL4	24	32
baseline	BL4	25	21
baseline	BL4	26	24
baseline	BL4	27	14
baseline	BL4	28	19
baseline	BL4	29	24
baseline	BL5	0	15
baseline	BL5	1	18
baseline	BL5	2	19
baseline	BL5	3	21
baseline	BL5	4	19
baseline	BL5	5	27
baseline	BL5	6	23
baseline	BL5	7	28
baseline	BL5	8	29
baseline	BL5	9	21
baseline	BL5	10	30
baseline	BL5	11	31
baseline	BL5	12	34
baseline	BL5	13	18
baseline	BL5	14	13
baseline	BL5	15	25
baseline	BL5	16	25
baseline	BL5	17	31
baseline	BL5	18	23
baseline	BL5	19	20
baseline	BL5	20	23
baseline	BL5	21	41
baseline	BL5	22	22
baseline	BL5	23	24
baseline	BL5	24	21
baseline	BL5	25	18
baseline	BL5	26	16
baseline	BL5	27	17
baseline	BL5	28	17
baseline	BL5	29	17
rescue_low	BL1	0	9
rescue_low	BL1	1	2
rescue_low	BL1	2	4
rescue_low	BL1	3	2
rescue_low	BL1	4	7
rescue_low	BL1	5	4
rescue_low	BL1	6	1
rescue_low	BL1	7	10
rescue_low	BL1	8	3
rescue_low	BL1	9	3
rescue_low	BL1	10	10
rescue_low	BL1	11	5
rescue_low	BL1	12	10
rescue_low	BL1	13	6
rescue_low	BL1	14	5
rescue_low	BL1	15	8
rescue_low	BL1	16	5
rescue_low	BL1	17	4
rescue_low	BL1	18	8
rescue_low	BL1	19	2
rescue_low	BL1	20	9
rescue_low	BL1	21	5
rescue_low	BL1	22	3
rescue_low	BL1	23	6
rescue_low	BL1	24	6
rescue_low	BL1	25	2
rescue_low	BL1	26	3
rescue_low	BL1	27	2
rescue_low	BL1	28	3
rescue_low	BL1	29	7
rescue_low	BL2	0	7
rescue_low	BL2	1	19
rescue_low	BL2	2	11
rescue_low	BL2	3	10
rescue_low	BL2	4	22
rescue_low	BL2	5	10
rescue_low	BL2	6	7
rescue_low	BL2	7	13
rescue_low	BL2	8	13
rescue_low	BL2	9	8
rescue_low	BL2	10	10
rescue_low	BL2	11	5
rescue_low	BL2	12	10
rescue_low	BL2	13	8
rescue_low	BL2	14	16
rescue_low	BL2	15	6
rescue_low	BL2	16	8
rescue_low	BL2	17	13
rescue_low	BL2	18	10
rescue_low	BL2	19	20
rescue_low	BL2	20	10
rescue_low	BL2	21	16
rescue_low	BL2	22	14
rescue_low	BL2	23	10
rescue_low	BL2	24	9
rescue_low	BL2	25	17
rescue_low	BL2	26	9
rescue_low	BL2	27	16
rescue_low	BL2	28	9
rescue_low	BL2	29	7
rescue_low	BL3	0	13
rescue_low	BL3	1	23
rescue_low	BL3	2	21
rescue_low	BL3	3	33
rescue_low	BL3	4	24
rescue_low	BL3	5	23
rescue_low	BL3	6	20
rescue_low	BL3	7	24
rescue_low	BL3	8	30
rescue_low	BL3	9	23
rescue_low	BL3	10	26
rescue_low	BL3	11	20
rescue_low	BL3	12	23
rescue_low	BL3	13	19
rescue_low	BL3	14	19
rescue_low	BL3	15	19
rescue_low	BL3	16	14
rescue_low	BL3	17	14
rescue_low	BL3	18	13
rescue_low	BL3	19	34
rescue_low	BL3	20	18
rescue_low	BL3	21	20
rescue_low	BL3	22	32
rescue_low	BL3	23	28
rescue_low	BL3	24	32
rescue_low	BL3	25	17
rescue_low	BL3	26	24
rescue_low	BL3	27	23
rescue_low	BL3	28	24
rescue_low	BL3	29	18
rescue_low	BL4	0	10
rescue_low	BL4	1	27
rescue_low	BL4	2	24
