recipient_level	recipient_group	recipient_BL	recipient_N	k_recipient	donor_level	donor_group	donor_BL	donor_N	k_donor	tier	rank_in_tier	novel_alleles	shared_alleles	k_after_injection	pct_species_gap_closed	pct_observed_gap_closed	novel_allele_ids
BL	BL1	BL1	5	4	BL	BL4	BL4	89	27	cross-BL	1	23	4	27	41.8	51.1	Allele_012,Allele_015,Allele_018,Allele_020,Allele_023,Allele_027,Allele_028,Allele_029,Allele_033,Allele_034,Allele_035,Allele_036,Allele_037,Allele_038,Allele_041,Allele_042,Allele_043,Allele_044,Allele_046,Allele_048,Allele_049,Allele_056,Allele_057
BL	BL1	BL1	5	4	BL	BL5	BL5	92	23	cross-BL	2	20	3	24	36.4	44.4	Allele_005,Allele_006,Allele_013,Allele_014,Allele_020,Allele_023,Allele_031,Allele_032,Allele_033,Allele_034,Allele_037,Allele_038,Allele_039,Allele_041,Allele_043,Allele_044,Allele_046,Allele_047,Allele_048,Allele_049
BL	BL1	BL1	5	4	EO	27	BL4	53	21	cross-BL	3	17	4	21	30.9	37.8	Allele_012,Allele_015,Allele_020,Allele_023,Allele_033,Allele_034,Allele_035,Allele_037,Allele_038,Allele_042,Allele_043,Allele_044,Allele_046,Allele_048,Allele_049,Allele_056,Allele_057
BL	BL1	BL1	5	4	BL	BL3	BL3	80	17	cross-BL	4	13	4	17	23.6	28.9	Allele_014,Allele_020,Allele_022,Allele_024,Allele_025,Allele_026,Allele_030,Allele_034,Allele_040,Allele_042,Allele_046,Allele_052,Allele_054
BL	BL1	BL1	5	4	EO	18	BL5	35	16	cross-BL	5	13	3	17	23.6	28.9	Allele_005,Allele_006,Allele_013,Allele_020,Allele_023,Allele_031,Allele_034,Allele_037,Allele_038,Allele_044,Allele_046,Allele_048,Allele_049
BL	BL1	BL1	5	4	EO	25	BL5	53	14	cross-BL	6	11	3	15	20.0	24.4	Allele_013,Allele_014,Allele_020,Allele_032,Allele_037,Allele_039,Allele_041,Allele_043,Allele_044,Allele_047,Allele_049
BL	BL1	BL1	5	4	EO	76	BL3	74	14	cross-BL	7	10	4	14	18.2	22.2	Allele_014,Allele_020,Allele_022,Allele_024,Allele_025,Allele_026,Allele_034,Allele_040,Allele_042,Allele_052
BL	BL1	BL1	5	4	EO	67	BL4	36	11	cross-BL	8	8	3	12	14.5	17.8	Allele_018,Allele_020,Allele_027,Allele_028,Allele_029,Allele_036,Allele_041,Allele_049
BL	BL1	BL1	5	4	BL	BL2	BL2	59	8	cross-BL	9	6	2	10	10.9	13.3	Allele_020,Allele_044,Allele_047,Allele_049,Allele_053,Allele_055
BL	BL1	BL1	5	4	EO	70	BL2	56	6	cross-BL	10	4	2	8	7.3	8.9	Allele_047,Allele_049,Allele_053,Allele_055
BL	BL2	BL2	59	8	BL	BL4	BL4	89	27	cross-BL	1	22	5	30	43.1	53.7	Allele_012,Allele_015,Allele_017,Allele_018,Allele_023,Allele_027,Allele_028,Allele_029,Allele_033,Allele_034,Allele_035,Allele_036,Allele_037,Allele_038,Allele_041,Allele_042,Allele_043,Allele_045,Allele_046,Allele_048,Allele_056,Allele_057
BL	BL2	BL2	59	8	BL	BL5	BL5	92	23	cross-BL	2	17	6	25	33.3	41.5	Allele_005,Allele_006,Allele_013,Allele_014,Allele_023,Allele_031,Allele_032,Allele_033,Allele_034,Allele_037,Allele_038,Allele_039,Allele_041,Allele_043,Allele_045,Allele_046,Allele_048
BL	BL2	BL2	59	8	EO	27	BL4	53	21	cross-BL	3	16	5	24	31.4	39.0	Allele_012,Allele_015,Allele_017,Allele_023,Allele_033,Allele_034,Allele_035,Allele_037,Allele_038,Allele_042,Allele_043,Allele_045,Allele_046,Allele_048,Allele_056,Allele_057
BL	BL2	BL2	59	8	BL	BL3	BL3	80	17	cross-BL	4	14	3	22	27.5	34.1	Allele_014,Allele_017,Allele_022,Allele_024,Allele_025,Allele_026,Allele_030,Allele_034,Allele_040,Allele_042,Allele_045,Allele_046,Allele_052,Allele_054
BL	BL2	BL2	59	8	EO	18	BL5	35	16	cross-BL	5	11	5	19	21.6	26.8	Allele_005,Allele_006,Allele_013,Allele_023,Allele_031,Allele_034,Allele_037,Allele_038,Allele_045,Allele_046,Allele_048
BL	BL2	BL2	59	8	EO	76	BL3	74	14	cross-BL	6	11	3	19	21.6	26.8	Allele_014,Allele_017,Allele_022,Allele_024,Allele_025,Allele_026,Allele_034,Allele_040,Allele_042,Allele_045,Allele_052
BL	BL2	BL2	59	8	EO	25	BL5	53	14	cross-BL	7	8	6	16	15.7	19.5	Allele_013,Allele_014,Allele_032,Allele_037,Allele_039,Allele_041,Allele_043,Allele_045
BL	BL2	BL2	59	8	EO	67	BL4	36	11	cross-BL	8	7	4	15	13.7	17.1	Allele_018,Allele_027,Allele_028,Allele_029,Allele_036,Allele_041,Allele_045
BL	BL2	BL2	59	8	BL	BL1	BL1	5	4	cross-BL	9	2	2	10	3.9	4.9	Allele_017,Allele_045
BL	BL3	BL3	80	17	BL	BL4	BL4	89	27	cross-BL	1	19	8	36	45.2	59.4	Allele_012,Allele_015,Allele_018,Allele_023,Allele_027,Allele_028,Allele_029,Allele_033,Allele_035,Allele_036,Allele_037,Allele_038,Allele_041,Allele_043,Allele_044,Allele_048,Allele_049,Allele_056,Allele_057
BL	BL3	BL3	80	17	BL	BL5	BL5	92	23	cross-BL	2	16	7	33	38.1	50.0	Allele_005,Allele_006,Allele_013,Allele_023,Allele_031,Allele_032,Allele_033,Allele_037,Allele_038,Allele_039,Allele_041,Allele_043,Allele_044,Allele_047,Allele_048,Allele_049
BL	BL3	BL3	80	17	EO	27	BL4	53	21	cross-BL	3	13	8	30	31.0	40.6	Allele_012,Allele_015,Allele_023,Allele_033,Allele_035,Allele_037,Allele_038,Allele_043,Allele_044,Allele_048,Allele_049,Allele_056,Allele_057
BL	BL3	BL3	80	17	EO	18	BL5	35	16	cross-BL	4	10	6	27	23.8	31.2	Allele_005,Allele_006,Allele_013,Allele_023,Allele_031,Allele_037,Allele_038,Allele_044,Allele_048,Allele_049
BL	BL3	BL3	80	17	EO	25	BL5	53	14	cross-BL	5	9	5	26	21.4	28.1	Allele_013,Allele_032,Allele_037,Allele_039,Allele_041,Allele_043,Allele_044,Allele_047,Allele_049
BL	BL3	BL3	80	17	EO	67	BL4	36	11	cross-BL	6	7	4	24	16.7	21.9	Allele_018,Allele_027,Allele_028,Allele_029,Allele_036,Allele_041,Allele_049
BL	BL3	BL3	80	17	BL	BL2	BL2	59	8	cross-BL	7	5	3	22	11.9	15.6	Allele_044,Allele_047,Allele_049,Allele_053,Allele_055
BL	BL3	BL3	80	17	EO	70	BL2	56	6	cross-BL	8	4	2	21	9.5	12.5	Allele_047,Allele_049,Allele_053,Allele_055
BL	BL3	BL3	80	17	BL	BL1	BL1	5	4	cross-BL	9	0	4	17	0.0	0.0	-
BL	BL5	BL5	92	23	BL	BL4	BL4	89	27	cross-BL	1	12	15	35	33.3	46.2	Allele_012,Allele_015,Allele_017,Allele_018,Allele_027,Allele_028,Allele_029,Allele_035,Allele_036,Allele_042,Allele_056,Allele_057
BL	BL5	BL5	92	23	BL	BL3	BL3	80	17	cross-BL	2	10	7	33	27.8	38.5	Allele_017,Allele_022,Allele_024,Allele_025,Allele_026,Allele_030,Allele_040,Allele_042,Allele_052,Allele_054
BL	BL5	BL5	92	23	EO	76	BL3	74	14	cross-BL	3	8	6	31	22.2	30.8	Allele_017,Allele_022,Allele_024,Allele_025,Allele_026,Allele_040,Allele_042,Allele_052
BL	BL5	BL5	92	23	EO	27	BL4	53	21	cross-BL	4	7	14	30	19.4	26.9	Allele_012,Allele_015,Allele_017,Allele_035,Allele_042,Allele_056,Allele_057
BL	BL5	BL5	92	23	EO	67	BL4	36	11	cross-BL	5	5	6	28	13.9	19.2	Allele_018,Allele_027,Allele_028,Allele_029,Allele_036
BL	BL5	BL5	92	23	BL	BL2	BL2	59	8	cross-BL	6	2	6	25	5.6	7.7	Allele_053,Allele_055
BL	BL5	BL5	92	23	EO	70	BL2	56	6	cross-BL	7	2	4	25	5.6	7.7	Allele_053,Allele_055
BL	BL5	BL5	92	23	BL	BL1	BL1	5	4	cross-BL	8	1	3	24	2.8	3.8	Allele_017
BL	BL4	BL4	89	27	BL	BL3	BL3	80	17	cross-BL	1	9	8	36	28.1	40.9	Allele_014,Allele_022,Allele_024,Allele_025,Allele_026,Allele_030,Allele_040,Allele_052,Allele_054
BL	BL4	BL4	89	27	BL	BL5	BL5	92	23	cross-BL	2	8	15	35	25.0	36.4	Allele_005,Allele_006,Allele_013,Allele_014,Allele_031,Allele_032,Allele_039,Allele_047
BL	BL4	BL4	89	27	EO	76	BL3	74	14	cross-BL	3	7	7	34	21.9	31.8	Allele_014,Allele_022,Allele_024,Allele_025,Allele_026,Allele_040,Allele_052
BL	BL4	BL4	89	27	EO	25	BL5	53	14	cross-BL	4	5	9	32	15.6	22.7	Allele_013,Allele_014,Allele_032,Allele_039,Allele_047
BL	BL4	BL4	89	27	EO	18	BL5	35	16	cross-BL	5	4	12	31	12.5	18.2	Allele_005,Allele_006,Allele_013,Allele_031
BL	BL4	BL4	89	27	BL	BL2	BL2	59	8	cross-BL	6	3	5	30	9.4	13.6	Allele_047,Allele_053,Allele_055
BL	BL4	BL4	89	27	EO	70	BL2	56	6	cross-BL	7	3	3	30	9.4	13.6	Allele_047,Allele_053,Allele_055
BL	BL4	BL4	89	27	BL	BL1	BL1	5	4	cross-BL	8	0	4	27	0.0	0.0	-
EO	70	BL2	56	6	BL	BL4	BL4	89	27	cross-BL	1	24	3	30	45.3	55.8	Allele_012,Allele_015,Allele_017,Allele_018,Allele_020,Allele_023,Allele_027,Allele_028,Allele_029,Allele_033,Allele_034,Allele_035,Allele_036,Allele_037,Allele_038,Allele_041,Allele_042,Allele_043,Allele_044,Allele_045,Allele_046,Allele_048,Allele_056,Allele_057
EO	70	BL2	56	6	BL	BL5	BL5	92	23	cross-BL	2	19	4	25	35.8	44.2	Allele_005,Allele_006,Allele_013,Allele_014,Allele_020,Allele_023,Allele_031,Allele_032,Allele_033,Allele_034,Allele_037,Allele_038,Allele_039,Allele_041,Allele_043,Allele_044,Allele_045,Allele_046,Allele_048
EO	70	BL2	56	6	EO	27	BL4	53	21	cross-BL	3	18	3	24	34.0	41.9	Allele_012,Allele_015,Allele_017,Allele_020,Allele_023,Allele_033,Allele_034,Allele_035,Allele_037,Allele_038,Allele_042,Allele_043,Allele_044,Allele_045,Allele_046,Allele_048,Allele_056,Allele_057
EO	70	BL2	56	6	BL	BL3	BL3	80	17	cross-BL	4	15	2	21	28.3	34.9	Allele_014,Allele_017,Allele_020,Allele_022,Allele_024,Allele_025,Allele_026,Allele_030,Allele_034,Allele_040,Allele_042,Allele_045,Allele_046,Allele_052,Allele_054
EO	70	BL2	56	6	EO	18	BL5	35	16	cross-BL	5	13	3	19	24.5	30.2	Allele_005,Allele_006,Allele_013,Allele_020,Allele_023,Allele_031,Allele_034,Allele_037,Allele_038,Allele_044,Allele_045,Allele_046,Allele_048
