Allele,Synonymy_group,Group_size,Obs_count,AAAA_count,Group_obs_total
Allele_001,Isolated,1,0,0,0
Allele_002,Isolated,1,1,0,1
Allele_003,Isolated,1,0,0,0
Allele_004,Isolated,1,0,0,0
Allele_005,Isolated,1,3,2,3
Allele_008,Isolated,1,0,0,0
Allele_009,Isolated,1,1,0,1
Allele_010,Isolated,1,0,0,0
Allele_011,Isolated,1,0,0,0
Allele_012,Isolated,1,2,1,2
Allele_016,Isolated,1,2,1,2
Allele_022,Isolated,1,13,7,13
Allele_031,Isolated,1,2,0,2
Allele_033,Isolated,1,4,0,4
Allele_041,Isolated,1,3,1,3
Allele_052,Isolated,1,1,0,1
Allele_054,Isolated,1,1,0,1
Allele_055,Isolated,1,1,0,1
Allele_058,Isolated,1,1,0,1
Allele_019,Synonymy group 1,15,0,0,289
Allele_021,Synonymy group 1,15,0,0,289
Allele_032,Synonymy group 1,15,7,2,289
Allele_039,Synonymy group 1,15,7,1,289
Allele_040,Synonymy group 1,15,4,4,289
Allele_042,Synonymy group 1,15,9,6,289
Allele_043,Synonymy group 1,15,6,1,289
Allele_045,Synonymy group 1,15,20,8,289
Allele_046,Synonymy group 1,15,6,0,289
Allele_047,Synonymy group 1,15,4,0,289
Allele_048,Synonymy group 1,15,2,0,289
Allele_049,Synonymy group 1,15,44,20,289
Allele_050,Synonymy group 1,15,99,51,289
Allele_051,Synonymy group 1,15,80,41,289
Allele_053,Synonymy group 1,15,1,0,289
Allele_020,Synonymy group 2,9,28,16,80
Allele_023,Synonymy group 2,9,16,7,80
Allele_024,Synonymy group 2,9,13,5,80
Allele_027,Synonymy group 2,9,1,0,80
Allele_034,Synonymy group 2,9,6,2,80
Allele_035,Synonymy group 2,9,2,0,80
Allele_036,Synonymy group 2,9,3,2,80
Allele_037,Synonymy group 2,9,4,2,80
Allele_038,Synonymy group 2,9,7,2,80
Allele_030,Synonymy group 3,4,1,1,33
Allele_044,Synonymy group 3,4,30,15,33
Allele_056,Synonymy group 3,4,1,0,33
Allele_057,Synonymy group 3,4,1,0,33
Allele_014,Synonymy group 4,3,6,1,8
Allele_015,Synonymy group 4,3,1,0,8
Allele_025,Synonymy group 4,3,1,0,8
Allele_006,Synonymy group 5,2,3,2,3
Allele_007,Synonymy group 5,2,0,0,3
Allele_013,Synonymy group 6,2,5,1,12
Allele_026,Synonymy group 6,2,7,4,12
Allele_017,Synonymy group 7,2,6,4,7
Allele_018,Synonymy group 7,2,1,0,7
Allele_028,Synonymy group 8,2,6,1,7
Allele_029,Synonymy group 8,2,1,0,7
