DNA_Extraction,n_rows_sharing_DNA_Extraction,SampleID,Library,barcode,Pop,EO_w_sub,Individual,FlowCell_ID,Ingroup,OccurrenceID,Plate_Number,Plate_Position
297,2,Library010_barcode04,10,4,18,18,,FBF71094,1,940.0,,
297,2,Library011_barcode08,11,8,18,18-8,,FBF62422,1,940.0,3.0,H1
419,2,Library009_barcode74,9,74,76,76,,FBF74491,1,1694.0,,
419,2,Library011_barcode07,11,7,76,76,,FBF62422,1,1694.0,3.0,G1
439,2,Library010_barcode12,10,12,18,18,,FBF71094,1,2170.0,,
439,2,Library011_barcode06,11,6,18,18,,FBF62422,1,2170.0,3.0,F1
444,2,Library010_barcode23,10,23,18,18,,FBF71094,1,2175.0,,
444,2,Library011_barcode05,11,5,18,18,,FBF62422,1,2175.0,3.0,E1
452,2,Library010_barcode31,10,31,18,18,,FBF71094,1,2183.0,,
452,2,Library011_barcode04,11,4,18,18,,FBF62422,1,2183.0,3.0,D1
464,2,Library010_barcode35,10,35,76,76,,FBF71094,1,1695.0,,
464,2,Library011_barcode03,11,3,76,76,,FBF62422,1,1695.0,3.0,C1
467,2,Library010_barcode48,10,48,76,76,,FBF71094,1,1698.0,,
467,2,Library011_barcode02,11,2,76,76,,FBF62422,1,1698.0,3.0,B1
468,2,Library010_barcode47,10,47,76,76,,FBF71094,1,1699.0,,
468,2,Library011_barcode01,11,1,76,76,,FBF62422,1,1699.0,3.0,A1
469,2,Library010_barcode46,10,46,76,76,,FBF71094,1,1700.0,,
469,2,Library011_barcode16,11,16,76,76,,FBF62422,1,1700.0,3.0,H2
473,2,Library010_barcode42,10,42,76,76,,FBF71094,1,1705.0,,
473,2,Library011_barcode15,11,15,76,76,,FBF62422,1,1705.0,3.0,G2
477,2,Library010_barcode54,10,54,76,76,,FBF71094,1,1709.0,,
477,2,Library011_barcode14,11,14,76,76,,FBF62422,1,1709.0,3.0,F2
480,2,Library010_barcode51,10,51,76,76,,FBF71094,1,1714.0,,
480,2,Library011_barcode13,11,13,76,76,,FBF62422,1,1714.0,3.0,E2
481,2,Library010_barcode50,10,50,76,76,,FBF71094,1,1715.0,,
481,2,Library011_barcode12,11,12,76,76,,FBF62422,1,1715.0,3.0,D2
486,2,Library010_barcode61,10,61,76,76,,FBF71094,1,1721.0,,
486,2,Library011_barcode11,11,11,76,76,,FBF62422,1,1721.0,3.0,C2
489,2,Library010_barcode58,10,58,70,70,,FBF71094,1,1583.0,,
489,2,Library011_barcode10,11,10,70,70,,FBF62422,1,1583.0,3.0,B2
493,2,Library010_barcode70,10,70,70,70,,FBF71094,1,1588.0,,
493,2,Library011_barcode09,11,9,70,70,,FBF62422,1,1588.0,3.0,A2
494,2,Library010_barcode69,10,69,70,70,,FBF71094,1,1589.0,,
494,2,Library011_barcode24,11,24,70,70,,FBF62422,1,1589.0,3.0,H3
495,2,Library010_barcode68,10,68,70,70,,FBF71094,1,1592.0,,
495,2,Library011_barcode23,11,23,70,70,,FBF62422,1,1592.0,3.0,G3
496,2,Library010_barcode67,10,67,70,70,,FBF71094,1,1593.0,,
496,2,Library011_barcode22,11,22,70,70,,FBF62422,1,1593.0,3.0,F3
498,2,Library010_barcode65,10,65,70,70,,FBF71094,1,1595.0,,
498,2,Library011_barcode21,11,21,70,70,,FBF62422,1,1595.0,3.0,E3
501,2,Library010_barcode78,10,78,70,70,,FBF71094,1,1601.0,,
501,2,Library011_barcode20,11,20,70,70,,FBF62422,1,1601.0,3.0,D3
510,2,Library010_barcode85,10,85,27,27,,FBF71094,1,1559.0,,
510,2,Library011_barcode19,11,19,27,27,,FBF62422,1,1559.0,3.0,C3
515,2,Library010_barcode96,10,96,27,27,,FBF71094,1,1510.0,,
515,2,Library011_barcode18,11,18,27,27,,FBF62422,1,1510.0,3.0,B3
516,2,Library010_barcode95,10,95,27,27,,FBF71094,1,1511.0,,
516,2,Library011_barcode17,11,17,27,27,,FBF62422,1,1511.0,3.0,A3
518,2,Library010_barcode93,10,93,27,27,,FBF71094,1,1517.0,,
518,2,Library011_barcode32,11,32,27,27,,FBF62422,1,1517.0,3.0,H4
519,2,Library010_barcode92,10,92,27,27,,FBF71094,1,1518.0,,
519,2,Library011_barcode31,11,31,27,27,,FBF62422,1,1518.0,3.0,G4
520,2,Library010_barcode91,10,91,27,27,,FBF71094,1,1519.0,,
520,2,Library011_barcode30,11,30,27,27,,FBF62422,1,1519.0,3.0,F4
521,2,Library010_barcode90,10,90,27,27,,FBF71094,1,1520.0,,
521,2,Library011_barcode29,11,29,27,27,,FBF62422,1,1520.0,3.0,E4
