Allele_A	Allele_B	FunctionalGroup	HV_distance	Cross_tier	AAAA_A	AAAA_B	Testable	Hypothesis
Allele_003	Allele_011	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_003	Allele_012	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_003	Allele_021	FG01	0.0	Incompatible	2	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_003	Allele_042	FG01	0.0	Incompatible	2	1	yes	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_003	Allele_055	FG01	0.0	Incompatible	2	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_006	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_007	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_008	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_009	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_010	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_013	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_014	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_015	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_016	FG01	0.0	Incompatible	0	7	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_017	FG01	0.0	Incompatible	0	4	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_018	FG01	0.0	Incompatible	0	15	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_019	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_020	FG01	0.0	Incompatible	0	3	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_022	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_023	FG01	0.0	Incompatible	0	0	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_024	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_026	FG01	0.0	Incompatible	0	2	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_027	FG01	0.0	Incompatible	0	3	no	HV-identical — strong synonymy prediction (Incompatible cross)
Allele_005	Allele_028	FG01	0.0	Incompatible	0	5	no	HV-identical — strong synonymy prediction (Incompatible cross)
