Protein	Allele	Cluster_id	Is_representative
SRK_protein_001	Allele_039	39	False
SRK_protein_002	Allele_046	46	True
SRK_protein_003	Allele_043	43	False
SRK_protein_004	Allele_046	46	False
SRK_protein_005	Allele_039	39	False
SRK_protein_006	Allele_046	46	False
SRK_protein_007	Allele_046	46	False
SRK_protein_008	Allele_020	20	True
SRK_protein_009	Allele_021	21	True
SRK_protein_010	Allele_021	21	False
SRK_protein_011	Allele_006	6	False
SRK_protein_012	Allele_006	6	False
SRK_protein_013	Allele_046	46	False
SRK_protein_014	Allele_046	46	False
SRK_protein_015	Allele_043	43	False
SRK_protein_016	Allele_043	43	False
SRK_protein_017	Allele_043	43	False
SRK_protein_018	Allele_007	7	True
SRK_protein_019	Allele_043	43	False
SRK_protein_020	Allele_039	39	True
SRK_protein_021	Allele_039	39	False
SRK_protein_022	Allele_039	39	False
SRK_protein_023	Allele_017	17	True
SRK_protein_024	Allele_020	20	False
SRK_protein_025	Allele_044	44	False
SRK_protein_026	Allele_027	27	False
SRK_protein_027	Allele_027	27	True
SRK_protein_028	Allele_043	43	False
SRK_protein_029	Allele_027	27	False
SRK_protein_030	Allele_046	46	False
SRK_protein_031	Allele_016	16	True
SRK_protein_032	Allele_014	14	True
SRK_protein_033	Allele_040	40	False
SRK_protein_034	Allele_046	46	False
SRK_protein_035	Allele_046	46	False
SRK_protein_036	Allele_022	22	False
SRK_protein_037	Allele_018	18	True
SRK_protein_038	Allele_018	18	False
SRK_protein_039	Allele_022	22	False
SRK_protein_040	Allele_020	20	False
SRK_protein_041	Allele_053	53	True
SRK_protein_042	Allele_012	12	True
SRK_protein_043	Allele_039	39	False
SRK_protein_044	Allele_039	39	False
SRK_protein_045	Allele_055	55	True
SRK_protein_046	Allele_054	54	True
SRK_protein_047	Allele_037	37	True
SRK_protein_048	Allele_006	6	False
SRK_protein_049	Allele_025	25	True
SRK_protein_050	Allele_046	46	False
SRK_protein_051	Allele_025	25	False
SRK_protein_052	Allele_046	46	False
SRK_protein_053	Allele_010	10	True
SRK_protein_054	Allele_010	10	False
SRK_protein_055	Allele_043	43	False
SRK_protein_056	Allele_013	13	True
SRK_protein_057	Allele_013	13	False
SRK_protein_058	Allele_020	20	False
SRK_protein_059	Allele_040	40	False
SRK_protein_060	Allele_045	45	False
SRK_protein_061	Allele_045	45	False
SRK_protein_062	Allele_043	43	False
SRK_protein_063	Allele_045	45	True
SRK_protein_064	Allele_008	8	True
SRK_protein_065	Allele_008	8	False
SRK_protein_066	Allele_046	46	False
SRK_protein_067	Allele_008	8	False
SRK_protein_068	Allele_046	46	False
SRK_protein_069	Allele_041	41	False
SRK_protein_070	Allele_041	41	True
SRK_protein_071	Allele_041	41	False
SRK_protein_072	Allele_046	46	False
SRK_protein_073	Allele_043	43	False
SRK_protein_074	Allele_046	46	False
SRK_protein_075	Allele_006	6	False
SRK_protein_076	Allele_046	46	False
SRK_protein_077	Allele_018	18	False
SRK_protein_078	Allele_043	43	True
SRK_protein_079	Allele_043	43	False
SRK_protein_080	Allele_049	49	True
SRK_protein_081	Allele_043	43	False
SRK_protein_082	Allele_043	43	False
SRK_protein_083	Allele_043	43	False
SRK_protein_084	Allele_046	46	False
SRK_protein_085	Allele_017	17	False
SRK_protein_086	Allele_039	39	False
SRK_protein_087	Allele_006	6	False
SRK_protein_088	Allele_007	7	False
SRK_protein_089	Allele_021	21	False
SRK_protein_090	Allele_020	20	False
SRK_protein_091	Allele_017	17	False
SRK_protein_092	Allele_017	17	False
SRK_protein_093	Allele_020	20	False
SRK_protein_094	Allele_017	17	False
SRK_protein_095	Allele_011	11	True
SRK_protein_096	Allele_022	22	False
SRK_protein_097	Allele_011	11	False
SRK_protein_098	Allele_001	1	True
SRK_protein_099	Allele_039	39	False
SRK_protein_100	Allele_039	39	False
SRK_protein_101	Allele_043	43	False
SRK_protein_102	Allele_006	6	False
SRK_protein_103	Allele_006	6	False
SRK_protein_104	Allele_043	43	False
SRK_protein_105	Allele_040	40	False
SRK_protein_106	Allele_040	40	False
SRK_protein_107	Allele_046	46	False
SRK_protein_108	Allele_026	26	True
SRK_protein_109	Allele_045	45	False
SRK_protein_110	Allele_045	45	False
SRK_protein_111	Allele_018	18	False
SRK_protein_112	Allele_007	7	False
SRK_protein_113	Allele_016	16	False
SRK_protein_114	Allele_018	18	False
SRK_protein_115	Allele_018	18	False
SRK_protein_116	Allele_018	18	False
SRK_protein_117	Allele_018	18	False
SRK_protein_118	Allele_024	24	True
SRK_protein_119	Allele_039	39	False
SRK_protein_120	Allele_043	43	False
SRK_protein_121	Allele_033	33	True
SRK_protein_122	Allele_032	32	True
SRK_protein_123	Allele_032	32	False
SRK_protein_124	Allele_046	46	False
SRK_protein_125	Allele_046	46	False
SRK_protein_126	Allele_019	19	True
SRK_protein_127	Allele_019	19	False
SRK_protein_128	Allele_031	31	True
SRK_protein_129	Allele_039	39	False
SRK_protein_130	Allele_039	39	False
SRK_protein_131	Allele_030	30	True
SRK_protein_132	Allele_026	26	False
SRK_protein_133	Allele_016	16	False
SRK_protein_134	Allele_016	16	False
SRK_protein_135	Allele_013	13	False
SRK_protein_136	Allele_046	46	False
SRK_protein_137	Allele_046	46	False
SRK_protein_138	Allele_046	46	False
SRK_protein_139	Allele_013	13	False
SRK_protein_140	Allele_013	13	False
SRK_protein_141	Allele_016	16	False
SRK_protein_142	Allele_013	13	False
SRK_protein_143	Allele_018	18	False
SRK_protein_144	Allele_044	44	True
SRK_protein_145	Allele_046	46	False
SRK_protein_146	Allele_013	13	False
SRK_protein_147	Allele_046	46	False
SRK_protein_148	Allele_013	13	False
SRK_protein_149	Allele_013	13	False
SRK_protein_150	Allele_046	46	False
SRK_protein_151	Allele_034	34	True
SRK_protein_152	Allele_022	22	False
SRK_protein_153	Allele_034	34	False
SRK_protein_154	Allele_046	46	False
SRK_protein_155	Allele_016	16	False
SRK_protein_156	Allele_016	16	False
SRK_protein_157	Allele_009	9	True
