Original_sequence_ID	Protein	Count
SRK_BEA_hybrid_bp_hap1_p_ctg_fa|amp_1|h1tg000019l|1700582|3407	SRK_protein_001	56
SRK_BEA_hybrid_bp_hap1_p_ctg_fa|amp_2|h1tg000030l|1750079|3371	SRK_protein_002	115
SRK_BEA_hybrid_bp_hap2_p_ctg_fa|amp_1|h2tg000017l|1700582|3407	SRK_protein_001	56
SRK_BEA_hybrid_bp_hap2_p_ctg_fa|amp_2|h2tg000032l|1750079|3371	SRK_protein_002	115
Library001_barcode02_hap1_rep1_tig00000001	SRK_protein_006	6
Library001_barcode02_hap1_rep2_tig00000002	SRK_protein_007	14
Library001_barcode02_hap2_rep1_tig00000001	SRK_protein_006	6
Library001_barcode02_hap2_rep2_tig00000002	SRK_protein_007	14
Library001_barcode02_hap1_rep3_tig00000001	SRK_protein_006	6
Library001_barcode02_hap2_rep3_tig00000001	SRK_protein_006	6
Library001_barcode02_hap3_rep3_tig00000001	SRK_protein_006	6
Library001_barcode02_hap4_rep3_tig00000001	SRK_protein_006	6
Library001_barcode04_hap2_rep2_tig00000001	SRK_protein_008	25
Library001_barcode04_hap3_rep2_tig00000001	SRK_protein_008	25
Library001_barcode04_hap4_rep2_tig00000001	SRK_protein_008	25
Library001_barcode05_hap1_rep3_tig00000001	SRK_protein_009	24
Library001_barcode05_hap2_rep1_tig00000001	SRK_protein_010	5
Library001_barcode05_hap2_rep3_tig00000001	SRK_protein_009	24
Library001_barcode05_hap3_rep1_tig00000001	SRK_protein_010	5
Library001_barcode05_hap3_rep3_tig00000001	SRK_protein_009	24
Library001_barcode05_hap4_rep1_tig00000001	SRK_protein_010	5
Library001_barcode05_hap4_rep3_tig00000001	SRK_protein_009	24
Library001_barcode05_hap1_rep1_tig00000002	SRK_protein_009	24
Library001_barcode05_hap1_rep2_tig00000002	SRK_protein_009	24
Library001_barcode05_hap2_rep1_tig00000002	SRK_protein_009	24
Library001_barcode05_hap2_rep2_tig00000002	SRK_protein_009	24
Library001_barcode05_hap3_rep1_tig00000002	SRK_protein_009	24
Library001_barcode05_hap3_rep2_tig00000002	SRK_protein_009	24
Library001_barcode05_hap4_rep1_tig00000002	SRK_protein_009	24
Library001_barcode05_hap4_rep2_tig00000002	SRK_protein_009	24
Library001_barcode06_hap1_rep1_tig00000001	SRK_protein_011	9
Library001_barcode06_hap1_rep3_tig00000001	SRK_protein_012	20
Library001_barcode06_hap1_rep4_tig00000001	SRK_protein_012	20
Library001_barcode06_hap2_rep1_tig00000001	SRK_protein_011	9
Library001_barcode06_hap2_rep3_tig00000001	SRK_protein_012	20
Library001_barcode06_hap2_rep4_tig00000001	SRK_protein_012	20
Library001_barcode06_hap3_rep1_tig00000001	SRK_protein_011	9
Library001_barcode06_hap3_rep3_tig00000001	SRK_protein_012	20
Library001_barcode06_hap3_rep4_tig00000001	SRK_protein_012	20
Library001_barcode06_hap4_rep1_tig00000001	SRK_protein_011	9
Library001_barcode06_hap4_rep3_tig00000001	SRK_protein_012	20
Library001_barcode06_hap4_rep4_tig00000001	SRK_protein_012	20
Library001_barcode07_hap1_rep1_tig00000002	SRK_protein_013	49
Library001_barcode07_hap1_rep3_tig00000003	SRK_protein_014	8
Library001_barcode07_hap2_rep1_tig00000002	SRK_protein_013	49
Library001_barcode07_hap2_rep3_tig00000003	SRK_protein_014	8
Library001_barcode07_hap3_rep1_tig00000002	SRK_protein_013	49
Library001_barcode07_hap3_rep3_tig00000003	SRK_protein_014	8
Library001_barcode07_hap4_rep1_tig00000002	SRK_protein_013	49
Library001_barcode07_hap4_rep3_tig00000003	SRK_protein_014	8
Library001_barcode08_hap1_rep4_tig00000002	SRK_protein_015	33
Library001_barcode08_hap2_rep4_tig00000002	SRK_protein_015	33
Library001_barcode08_hap3_rep4_tig00000002	SRK_protein_015	33
Library001_barcode08_hap4_rep4_tig00000002	SRK_protein_015	33
Library001_barcode08_hap1_rep1_tig00000001	SRK_protein_016	62
Library001_barcode08_hap1_rep4_tig00000001	SRK_protein_017	24
Library001_barcode08_hap2_rep1_tig00000001	SRK_protein_016	62
Library001_barcode08_hap3_rep1_tig00000001	SRK_protein_016	62
Library001_barcode08_hap3_rep4_tig00000001	SRK_protein_017	24
Library001_barcode08_hap4_rep1_tig00000001	SRK_protein_016	62
Library001_barcode08_hap4_rep4_tig00000001	SRK_protein_017	24
