species	haplotype	accession	length	fetched_length	title
Brassica_rapa	unknown	BCZ49877.1	856	856	SRK like receptor kinase [Brassica rapa subsp. pekinensis]
Brassica_rapa	unknown	BCZ49876.1	855	855	SRK like receptor kinase [Brassica rapa subsp. pekinensis]
Brassica_rapa	unknown	BCZ49875.1	856	856	SRK like receptor kinase [Brassica rapa subsp. pekinensis]
Brassica_rapa	unknown	BAW33055.1	858	858	SRK like receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAW33054.1	858	858	SRK like receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAW33053.1	856	856	SRK like receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAW33052.1	856	856	SRK like receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAW33051.1	856	856	SRK like receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAW33050.1	856	856	SRK like receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAW33049.1	856	856	SRK like receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAW33048.1	856	856	SRK like receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAW33047.1	856	856	SRK like receptor kinase [Brassica rapa]
Brassica_rapa	unknown	ABD59322.1	817	817	S locus receptor kinase [Brassica rapa subsp. oleifera]
Brassica_rapa	unknown	ABD59321.1	795	795	S locus receptor kinase [Brassica rapa subsp. oleifera]
Brassica_rapa	unknown	BAF91378.1	860	860	S receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAF91375.1	858	858	S receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAF57003.1	858	858	S receptor kinase [Brassica rapa]
Brassica_rapa	unknown	BAE96738.1	847	847	S receptor kinase, partial [Brassica rapa]
Brassica_rapa	unknown	BAE96737.1	847	847	S receptor kinase, partial [Brassica rapa]
Brassica_rapa	unknown	BAC76056.1	859	859	S receptor kinase, partial [Brassica rapa]
Brassica_oleracea	unknown	XP_013583450.1	702	702	PREDICTED: G-type lectin S-receptor-like serine/threonine-protein kinase SRK [Brassica oleracea var. oleracea]
Arabidopsis_lyrata	unknown	XP_002869890.1	852	852	G-type lectin S-receptor-like serine/threonine-protein kinase SRK [Arabidopsis lyrata subsp. lyrata]
Arabidopsis_lyrata	unknown	ABF71379.1	816	816	S receptor kinase SRK37, partial [Arabidopsis lyrata]
Arabidopsis_lyrata	unknown	ABF71373.1	760	760	S receptor kinase SRK16, partial [Arabidopsis lyrata]
Arabidopsis_halleri	unknown	ABF71369.1	728	728	S receptor kinase SRK10, partial [Arabidopsis halleri]
Arabidopsis_halleri	unknown	ABF71368.1	829	829	S receptor kinase SRK04, partial [Arabidopsis halleri]
Arabidopsis_halleri	unknown	AFP33765.1	845	845	SRK [Arabidopsis halleri subsp. gemmifera]
Arabidopsis_halleri	unknown	AFP33764.1	857	857	SRK, partial [Arabidopsis halleri subsp. gemmifera]
Arabidopsis_halleri	unknown	AFP33760.1	840	840	SRK [Arabidopsis halleri subsp. gemmifera]
Arabidopsis_halleri	unknown	CCI61482.1	847	847	SRK [Arabidopsis halleri]
Arabidopsis_halleri	unknown	ADG01813.1	851	851	SRK [Arabidopsis halleri subsp. gemmifera]
